Data File:,'13211527 SB 2386N.rdf'
Site Code:,'17D SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
52,SB1,6/11/2015 1:47:47.730,7,633,13,60.71,90.43,90.55,0.10,13.64,21.79,9.13,22.36,9.49,22.61
53,SB2,6/11/2015 1:47:49.232,2,583,2,75.65,50.30,50.40,-10.76,8.65
54,SB2,6/11/2015 1:51:13.981,2,583,2,78.48,204.67,204.75,-11.20,9.28
55,SB1,6/11/2015 1:51:43.222,6,617,10,55.76,234.38,235.49,1.02,12.88,5.84,4.08,33.86,3.95
56,SB2,6/11/2015 2:00:24.288,2,583,2,65.58,550.23,550.31,-15.57,9.19
57,SB1,6/11/2015 2:01:10.037,5,613,9,60.38,566.07,566.82,-0.51,11.72,4.34,36.57,4.16
58,SB1,6/11/2015 2:01:21.411,2,583,2,36.83,10.74,11.37,-0.57,7.66
59,SB1,6/11/2015 2:01:21.829,3,582,1,63.35,0.28,0.42,-1.20,4.13,4.96
60,SB2,6/11/2015 2:03:42.604,5,613,9,58.69,198.22,198.32,0.14,20.12,4.46,36.40,4.36
61,SB2,6/11/2015 2:08:07.328,2,600,5,50.17,263.97,264.72,5.58,18.56
62,SB2,6/11/2015 2:12:51.379,2,583,2,76.86,283.80,284.05,-9.13,8.59
63,SB1,6/11/2015 2:15:13.231,5,613,9,61.49,831.30,831.40,-0.72,12.89,4.16,34.96,4.05
64,SB1,6/11/2015 2:15:23.432,2,600,5,55.58,9.58,10.20,5.10,13.57
65,SB1,6/11/2015 2:15:23.652,2,592,4,33.45,0.05,0.22,2.37,21.71
66,SB1,6/11/2015 2:18:12.762,4,608,8,65.84,168.67,169.11,0.69,16.17,4.45,33.67
67,SB1,6/11/2015 2:22:01.047,6,618,10,61.72,227.72,228.29,-0.34,12.85,4.15,35.62,3.99,4.21
68,SB1,6/11/2015 2:22:06.754,2,600,5,63.71,5.04,5.71,2.72,12.58
69,SB2,6/11/2015 2:26:45.913,2,588,3,55.76,834.46,834.53,0.00,10.49
70,SB1,6/11/2015 2:40:10.007,7,633,13,61.15,1083.12,1083.25,-0.10,13.41,22.23,9.35,23.15,9.14,22.21
71,SB1,6/11/2015 2:55:19.445,2,583,2,64.82,908.33,909.44,1.32,9.06
72,SB1,6/11/2015 3:01:05.022,4,626,11,60.49,345.48,345.58,2.67,13.38,21.13,10.20
73,SB1,6/11/2015 3:01:05.569,4,602,7,58.79,0.04,0.55,2.29,18.96,9.02,4.11
74,SB1,6/11/2015 3:01:25.529,5,613,9,63.35,19.59,19.96,1.05,13.31,4.27,33.08,4.23
75,SB2,6/11/2015 3:05:22.855,2,583,2,61.38,2316.81,2316.94,-5.35,7.49
76,SB1,6/11/2015 3:12:35.018,4,595,4,37.11,668.91,669.49,0.11,22.32,5.79,12.80
77,SB1,6/11/2015 3:12:35.470,2,600,5,31.86,0.00,0.45,-2.40,15.87
78,SB1,6/11/2015 3:15:29.902,10,638,13,62.99,174.09,174.43,-0.21,14.21,22.77,9.68,4.10,18.22,4.06,5.36,4.17,18.42
79,SB1,6/11/2015 3:17:31.304,2,592,4,65.84,120.30,121.40,-4.23,20.27
80,SB1,6/11/2015 3:25:41.987,3,593,4,65.07,490.47,490.68,14.49,20.49,4.44
81,SB1,6/11/2015 3:32:00.496,4,608,8,54.67,378.25,378.51,0.67,11.74,4.48,38.01
82,SB1,6/11/2015 3:36:52.595,3,601,6,60.06,291.43,292.10,-2.04,19.12,4.08
83,SB2,6/11/2015 3:38:44.629,8,636,13,60.27,2001.69,2001.77,-0.89,10.75,9.72,4.54,22.10,4.19,18.39,4.37
84,SB1,6/11/2015 3:44:49.428,3,589,3,62.88,476.57,476.83,-1.06,11.15,9.46
85,SB1,6/11/2015 3:44:49.698,3,594,4,65.58,0.05,0.27,-3.25,30.97,16.14
86,SB1,6/11/2015 3:44:50.082,2,583,2,79.60,0.00,0.38,-54.14,6.53
87,SB1,6/11/2015 3:58:21.766,5,613,9,56.71,811.63,811.68,-0.13,11.71,4.18,33.45,9.82
88,SB1,6/11/2015 4:03:01.622,5,613,9,62.88,279.15,279.86,2.69,17.82,4.36,32.52,4.23
89,SB1,6/11/2015 4:03:29.113,3,605,8,65.33,26.86,27.49,-0.66,15.52,21.40
90,SB1,6/11/2015 4:03:29.348,2,581,1,13.27,0.00,0.24,-3.00,4.40
91,SB1,6/11/2015 4:09:06.900,8,636,13,65.45,337.33,337.55,-2.52,10.51,4.67,12.44,22.35,15.07,4.12,4.33
92,SB1,6/11/2015 4:09:06.946,2,581,1,18.14,0.00,0.05,-4.49,5.23
93,SB1,6/11/2015 4:11:10.686,8,636,13,61.15,123.54,123.74,0.40,12.25,4.18,5.40,25.95,4.06,19.97,4.00
94,SB1,6/11/2015 4:15:26.946,2,600,5,61.49,255.43,256.26,4.06,17.88
95,SB1,6/11/2015 4:15:27.196,2,592,4,65.71,0.05,0.25,-7.95,37.71
96,SB2,6/11/2015 4:18:23.211,3,605,8,66.76,2377.74,2378.58,-1.48,13.82,21.03
97,SB2,6/11/2015 4:18:23.644,3,606,8,31.59,0.08,0.43,-3.27,9.21,32.21
98,SB2,6/11/2015 4:18:24.045,3,606,8,11.75,0.00,0.40,3.42,7.33,29.11
99,SB2,6/11/2015 4:18:25.994,2,592,4,65.07,0.22,1.95,4.57,32.79
100,SB1,6/11/2015 4:25:31.248,3,605,8,59.74,603.65,604.05,1.11,17.40,34.24
101,SB1,6/11/2015 4:25:31.492,2,592,4,57.19,0.00,0.24,6.33,33.05
102,SB2,6/11/2015 4:26:14.327,2,583,2,61.49,467.99,468.33,-10.47,8.53
103,SB1,6/11/2015 4:27:21.572,10,638,13,61.04,109.69,110.08,0.00,13.27,4.08,17.85,9.36,4.08,18.40,4.19,5.82,23.48
104,SB1,6/11/2015 4:33:23.892,3,605,8,60.60,361.20,362.32,4.95,12.68,9.42
105,SB1,6/11/2015 4:33:24.490,2,581,1,60.27,0.35,0.60,5.63,5.15
106,SB1,6/11/2015 4:33:24.607,2,581,1,61.60,0.06,0.12,1.96,5.24
