Data File:,'13211530 SB NB 2399N.rdf'
Site Code:,'17G SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
53,NB,6/11/2015 1:08:20.273,2,581,1,57.29,0.33,0.90,-2.96,4.15
54,SB,6/11/2015 1:10:00.520,2,588,3,75.35,305.11,305.87,-9.41,10.27
55,SB,6/11/2015 1:12:13.308,2,583,2,58.56,132.70,132.79,0.00,8.27
56,SB,6/11/2015 1:13:54.263,2,583,2,55.85,100.86,100.95,-2.13,8.00
57,NB,6/11/2015 1:15:36.036,5,613,9,57.96,435.71,435.76,0.12,13.81,4.45,32.26,4.27
58,SB,6/11/2015 1:15:42.936,2,583,2,57.81,108.58,108.67,-4.04,9.30
59,NB,6/11/2015 1:16:19.187,2,583,2,73.13,42.51,43.15,-6.79,9.34
60,NB,6/11/2015 1:17:24.924,2,583,2,60.47,65.65,65.74,-7.85,9.05
61,SB,6/11/2015 1:18:39.701,2,583,2,77.58,176.65,176.76,-7.05,8.61
62,NB,6/11/2015 1:18:40.425,2,583,2,59.98,75.40,75.50,-8.71,8.75
63,SB,6/11/2015 1:20:50.401,2,583,2,50.32,130.62,130.70,-3.81,9.73
64,SB,6/11/2015 1:23:06.992,5,613,9,55.03,136.46,136.59,-0.72,17.42,4.35,34.07,4.10
65,SB,6/11/2015 1:23:08.976,3,601,6,56.56,1.24,1.98,1.36,9.34,3.81
66,NB,6/11/2015 1:25:33.686,2,592,4,63.02,413.16,413.26,1.45,22.93
67,SB,6/11/2015 1:25:39.708,2,583,2,71.15,150.57,150.73,-14.00,9.05
68,SB,6/11/2015 1:25:57.005,8,636,13,59.18,17.21,17.30,0.56,10.33,4.01,4.42,28.44,4.11,4.94,5.12
69,NB,6/11/2015 1:26:06.203,3,601,6,57.81,32.27,32.52,1.40,11.98,6.37
70,SB,6/11/2015 1:30:55.875,5,613,9,57.07,298.17,298.87,0.81,11.15,3.88,32.60,6.04
71,SB,6/11/2015 1:34:59.104,4,610,8,63.11,242.59,243.23,2.25,12.46,35.98,4.16
72,SB,6/11/2015 1:35:03.262,4,608,8,62.41,3.59,4.16,2.20,12.35,3.77,32.05
73,SB,6/11/2015 1:36:45.800,2,583,2,67.09,102.01,102.54,-8.09,9.62
74,SB,6/11/2015 1:36:52.999,2,583,2,80.08,7.10,7.20,-9.54,8.71
75,NB,6/11/2015 1:38:55.269,5,614,9,60.38,768.85,769.07,0.16,10.37,4.71,4.43,25.78
76,SB,6/11/2015 1:40:19.760,2,583,2,61.21,206.69,206.76,-0.89,8.43
