Data File:,'13211529 SB NB 2393N.rdf'
Site Code:,'17F SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
54,NB,6/11/2015 1:08:42.534,5,615,9,58.11,406.49,406.61,-1.12,19.12,28.96,4.15,4.13
55,NB,6/11/2015 1:08:43.427,2,581,1,57.81,0.23,0.89,-4.60,4.12
56,SB,6/11/2015 1:09:41.649,2,588,3,74.97,311.94,312.69,-2.67,10.32
57,SB,6/11/2015 1:11:49.051,2,583,2,57.58,127.31,127.40,0.76,8.23
58,SB,6/11/2015 1:13:29.311,2,583,2,60.79,100.16,100.26,-4.53,8.07
59,SB,6/11/2015 1:15:17.788,2,583,2,56.06,108.39,108.48,-2.45,9.37
60,NB,6/11/2015 1:15:59.087,5,613,9,58.41,435.61,435.66,-0.71,13.88,4.44,32.24,4.22
61,NB,6/11/2015 1:16:37.206,2,583,2,74.10,37.48,38.12,-15.22,9.39
62,NB,6/11/2015 1:17:46.927,2,583,2,61.72,69.63,69.72,-9.09,9.13
63,SB,6/11/2015 1:18:21.319,2,583,2,76.91,183.42,183.53,-1.76,8.45
64,SB,6/11/2015 1:20:24.450,2,583,2,57.88,123.06,123.13,-5.13,9.76
65,SB,6/11/2015 1:22:42.072,2,600,5,57.88,137.51,137.62,-0.73,17.28
66,SB,6/11/2015 1:22:42.323,3,593,4,55.85,0.05,0.25,3.20,33.68,3.79
67,SB,6/11/2015 1:22:44.973,2,583,2,60.38,2.20,2.65,-11.45,9.19
68,SB,6/11/2015 1:25:19.231,2,583,2,67.70,154.15,154.26,-8.92,8.98
69,SB,6/11/2015 1:25:33.022,4,608,8,59.18,13.70,13.79,0.88,10.37,4.00,31.73
70,NB,6/11/2015 1:25:54.734,2,592,4,64.20,487.71,487.81,-1.48,23.22
71,NB,6/11/2015 1:26:29.190,8,636,13,57.96,34.21,34.46,-0.64,12.16,6.37,4.46,33.19,4.32,4.26,4.20
72,SB,6/11/2015 1:30:31.285,4,608,8,57.21,297.72,298.26,0.52,11.22,4.05,32.07
