QUALITY COUNTS REPORT
=====================

Type:,Speed Data
Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
Specific Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
City/State:,Sonoma,CA
QCJobNo:,13715702
Date:,Sep 30 2016 - Oct 06 2016
Direction:,WB
Comments:,

'===============================================================================================================================

Date:,Sep 30 2016,
Start Time,1,16,21,26,31,36,41,46,51,56,61,66,71,76,Total,Pace,Number
9:00 PM,4,0,0,0,0,13,72,232,267,177,54,6,0,0,825,46--55,498,
10:00 PM,3,0,0,0,0,2,31,144,334,175,43,6,0,0,738,51--60,509,
11:00 PM,3,0,0,0,0,2,12,75,190,203,63,5,1,0,554,51--60,393,
Day Total,469,348,449,394,366,503,1321,3778,6847,4443,1172,147,10,0,20247,51--60,11289,
Percent,2.3%,1.7%,2.2%,1.9%,1.8%,2.5%,6.5%,18.7%,33.8%,21.9%,5.8%,0.7%,0.0%,0.0%,
ADT,20247

AM Peak,5:00 AM,,,,10:00 AM,11:00 AM,11:00 AM,11:00 AM,10:00 AM,8:00 AM,7:00 AM,7:00 AM,7:00 AM,,11:00 AM,
Volume,7,,,,4,24,69,257,542,393,127,18,4,,1261,

PM Peak,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,4:00 PM,3:00 PM,6:00 PM,2:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM,,2:00 PM,
Volume,169,156,245,223,123,165,258,428,640,450,91,12,1,,1411,


'===============================================================================================================================

Date:,Oct 02 2016,
Start Time,1,16,21,26,31,36,41,46,51,56,61,66,71,76,Total,Pace,Number
,15,20,25,30,35,40,45,50,55,60,65,70,75,999,,Speed,in Pace
12:00 AM,5,0,0,0,0,0,1,28,126,141,63,10,0,0,374,51--60,267,
1:00 AM,3,0,0,0,0,0,4,22,66,63,44,6,1,0,209,51--60,129,
2:00 AM,8,0,0,0,0,0,1,5,24,39,37,13,2,0,129,56--65,76,
3:00 AM,3,0,0,0,0,0,0,4,35,51,22,9,4,0,128,51--60,85,
4:00 AM,2,0,0,0,0,0,1,4,20,34,23,8,0,0,92,56--65,56,
5:00 AM,5,0,0,0,0,0,3,12,35,48,36,11,2,0,152,56--65,83,
6:00 AM,4,0,0,0,0,0,6,13,57,129,75,17,2,0,303,56--65,204,
7:00 AM,9,0,0,0,0,0,8,20,108,160,129,20,0,0,454,56--65,289,
8:00 AM,11,0,0,0,0,0,0,38,155,246,167,22,1,0,640,56--65,412,
9:00 AM,7,0,0,0,0,0,6,69,310,292,150,16,3,0,853,51--60,602,
10:00 AM,10,0,0,1,7,32,44,171,470,293,71,5,0,0,1104,51--60,762,
11:00 AM,4,0,28,17,6,20,69,297,499,271,67,5,0,0,1283,46--55,795,
12:00 PM,45,96,94,100,142,99,91,168,277,204,18,1,0,0,1335,51--60,480,
1:00 PM,43,48,122,122,282,253,150,124,90,32,3,0,0,0,1269,31--40,535,
2:00 PM,76,74,111,80,45,67,111,269,307,118,9,0,0,0,1267,46--55,576,
3:00 PM,4,0,16,31,39,98,251,512,258,31,0,0,0,0,1240,46--55,769,
4:00 PM,24,26,34,43,74,89,132,193,295,191,31,2,0,0,1134,46--55,488,
5:00 PM,5,0,0,0,1,10,38,228,529,383,49,5,1,0,1249,51--60,911,
6:00 PM,2,0,0,0,0,41,148,380,485,177,17,0,0,0,1250,46--55,865,
7:00 PM,8,0,0,0,0,4,50,248,445,254,46,4,0,0,1059,51--60,698,
8:00 PM,4,0,0,0,0,11,69,277,445,203,24,3,0,0,1036,46--55,722,
9:00 PM,3,0,0,0,0,1,16,139,278,248,64,11,1,0,761,51--60,526,
10:00 PM,7,0,0,0,0,0,5,47,182,227,86,9,1,0,564,51--60,408,
11:00 PM,3,0,0,0,3,6,2,25,100,118,66,19,0,1,343,51--60,218,
Day Total,295,244,405,394,599,731,1206,3293,5596,3953,1297,196,18,1,18228,51--60,9549,
Percent,1.6%,1.3%,2.2%,2.2%,3.3%,4.0%,6.6%,18.1%,30.7%,21.7%,7.1%,1.1%,0.1%,0.0%,
ADT,18228

AM Peak,8:00 AM,,11:00 AM,11:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,10:00 AM,8:00 AM,8:00 AM,3:00 AM,,11:00 AM,
Volume,11,,28,17,7,32,69,297,499,293,167,22,4,,1283,

PM Peak,2:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,1:00 PM,3:00 PM,3:00 PM,5:00 PM,5:00 PM,10:00 PM,11:00 PM,5:00 PM,11:00 PM,12:00 PM,
Volume,76,96,122,122,282,253,251,512,529,383,86,19,1,1,1335,


'===============================================================================================================================

Date:,Oct 03 2016,
Start Time,1,16,21,26,31,36,41,46,51,56,61,66,71,76,Total,Pace,Number
,15,20,25,30,35,40,45,50,55,60,65,70,75,999,,Speed,in Pace
12:00 AM,5,0,0,0,0,0,0,7,34,65,63,13,0,0,187,56--65,127,
1:00 AM,3,0,0,0,0,0,2,4,32,30,23,8,0,0,102,51--60,62,
2:00 AM,4,0,0,0,0,0,0,1,14,24,22,3,1,0,69,56--65,46,
3:00 AM,3,0,0,0,0,0,0,4,37,37,20,6,0,0,107,51--60,74,
4:00 AM,2,0,0,0,0,0,5,6,53,82,43,12,0,0,203,51--60,135,
5:00 AM,8,0,0,0,0,2,10,49,126,177,68,12,0,0,452,51--60,302,
6:00 AM,2,0,0,0,0,0,4,91,282,257,77,22,2,0,737,51--60,539,
7:00 AM,3,0,0,0,0,0,26,181,402,296,45,1,0,0,954,51--60,698,
8:00 AM,1,0,0,0,0,1,39,280,457,164,15,2,0,0,959,46--55,737,
9:00 AM,4,0,0,0,5,31,69,270,384,194,24,2,0,0,983,46--55,653,
10:00 AM,3,0,0,0,1,13,102,327,369,136,27,6,0,0,984,46--55,695,
11:00 AM,7,0,0,0,0,5,77,302,405,131,18,0,0,0,945,46--55,707,
12:00 PM,6,0,0,0,0,6,63,292,410,201,48,1,1,0,1028,46--55,702,
1:00 PM,5,0,0,0,0,6,44,234,564,235,39,1,0,0,1128,51--60,799,
2:00 PM,36,41,40,52,39,121,196,456,241,36,5,0,0,0,1263,46--55,697,
3:00 PM,148,106,163,246,277,147,81,35,22,0,0,0,0,0,1225,26--35,523,
4:00 PM,130,178,252,270,198,96,25,15,2,0,0,0,0,0,1166,21--30,522,
5:00 PM,14,0,0,0,1,20,183,429,382,63,6,0,0,0,1098,46--55,811,
6:00 PM,7,0,0,0,1,29,209,540,376,64,8,2,0,0,1236,46--55,916,
7:00 PM,6,0,0,0,4,59,239,370,246,71,3,1,0,0,999,46--55,616,
8:00 PM,1,0,0,0,0,1,30,151,324,190,34,2,1,0,734,51--60,514,
9:00 PM,3,0,0,0,0,3,10,89,213,201,63,4,1,0,587,51--60,414,
10:00 PM,4,0,0,0,0,8,19,64,146,145,47,6,2,0,441,51--60,291,
11:00 PM,10,0,0,0,0,0,7,26,101,139,54,14,3,0,354,51--60,240,
Day Total,415,325,455,568,526,548,1440,4223,5622,2938,752,118,11,0,17941,46--55,9845,
Percent,2.3%,1.8%,2.5%,3.2%,2.9%,3.1%,8.0%,23.5%,31.3%,16.4%,4.2%,0.7%,0.1%,0.0%,
ADT,17941

AM Peak,5:00 AM,,,,9:00 AM,9:00 AM,10:00 AM,10:00 AM,8:00 AM,7:00 AM,6:00 AM,6:00 AM,6:00 AM,,10:00 AM,
Volume,8,,,,5,31,102,327,457,296,77,22,2,,984,

PM Peak,3:00 PM,4:00 PM,4:00 PM,4:00 PM,3:00 PM,3:00 PM,7:00 PM,6:00 PM,1:00 PM,1:00 PM,9:00 PM,11:00 PM,11:00 PM,,2:00 PM,
Volume,148,178,252,270,277,147,239,540,564,235,63,14,3,,1263,


'===============================================================================================================================

Date:,Oct 04 2016,
Start Time,1,16,21,26,31,36,41,46,51,56,61,66,71,76,Total,Pace,Number
,15,20,25,30,35,40,45,50,55,60,65,70,75,999,,Speed,in Pace
12:00 AM,8,0,0,0,0,0,3,19,41,63,50,5,0,1,190,56--65,113,
1:00 AM,4,0,0,0,0,0,0,5,29,41,34,11,1,0,125,56--65,75,
2:00 AM,2,0,0,0,0,0,1,5,34,20,14,0,0,0,76,51--60,54,
3:00 AM,3,0,0,0,0,0,0,9,30,43,12,3,1,0,101,51--60,72,
4:00 AM,9,0,0,0,0,0,0,12,53,74,41,17,2,0,208,51--60,127,
5:00 AM,6,0,0,0,0,0,0,38,112,157,79,12,2,1,407,51--60,268,
6:00 AM,1,0,0,0,0,0,9,114,304,270,71,3,0,0,772,51--60,574,
7:00 AM,2,0,0,4,13,16,39,209,495,272,41,2,0,0,1093,51--60,767,
8:00 AM,4,0,0,0,9,6,37,104,344,380,78,8,0,0,970,51--60,724,
9:00 AM,8,0,0,0,0,0,17,147,474,240,30,6,0,0,922,51--60,714,
10:00 AM,3,0,0,0,0,14,50,198,320,191,42,8,0,0,826,46--55,518,
11:00 AM,4,0,0,0,0,5,41,202,443,205,36,6,0,0,942,51--60,648,
12:00 PM,3,0,0,0,0,0,15,126,496,251,33,2,0,0,926,51--60,747,
1:00 PM,2,0,0,0,6,19,56,368,491,187,26,0,0,0,1155,46--55,859,
2:00 PM,4,0,0,3,62,124,209,481,454,68,3,0,0,0,1408,46--55,934,
3:00 PM,96,35,14,10,23,93,201,429,314,64,4,1,0,0,1284,46--55,742,
4:00 PM,11,0,0,0,6,53,266,579,360,51,4,0,0,0,1330,46--55,939,
5:00 PM,84,99,86,226,206,166,196,125,29,0,1,0,0,0,1218,26--35,432,
6:00 PM,59,65,106,112,255,215,255,192,59,8,0,0,0,0,1326,31--40,470,
7:00 PM,9,0,0,0,20,107,264,447,213,79,8,1,0,0,1148,41--50,711,
8:00 PM,3,0,0,0,0,4,31,162,368,200,38,7,0,0,813,51--60,568,
9:00 PM,2,0,0,0,0,2,4,114,288,201,46,3,0,0,660,51--60,489,
10:00 PM,11,0,0,0,0,3,19,60,189,165,41,10,0,0,498,51--60,354,
11:00 PM,4,0,0,0,0,0,2,28,109,134,54,20,2,0,353,51--60,243,
