QUALITY COUNTS REPORT
=====================

Type:,Vehicle Classification Data
Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
Specific Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
City/State:,Sonoma,CA
QCJobNo:,13715702
Date:,Sep 30 2016 - Oct 06 2016
Direction:,EB
Comments:,

'===============================================================================================================================

Date:,Sep 30 2016,
Start Time,Motorcycles,Cars &,2 Axle,Buses,2 Axle,3 Axle,4 Axle,<5 Axle,5 Axle,>6 Axle,<6 Axle,6 Axle,>6 Axle,Not,Total
,,Trailer,Long,,6 Tire,Single,Single,Double,Double,Double,Multi,Multi,Multi,Classified
Percent,0.4%,78.9%,13.5%,0.4%,3.0%,0.0%,0.0%,1.8%,0.2%,0.0%,0.4%,0.0%,0.0%,1.3%,
ADT,18952

AM Peak,9:00 AM,10:00 AM,8:00 AM,7:00 AM,7:00 AM,9:00 AM,,8:00 AM,8:00 AM,,5:00 AM,,,9:00 AM,10:00 AM,
Volume,7,1040,174,8,43,1,,29,1,,12,,,23,1259,

PM Peak,4:00 PM,12:00 PM,1:00 PM,1:00 PM,12:00 PM,5:00 PM,,12:00 PM,4:00 PM,3:00 PM,12:00 PM,1:00 PM,4:00 PM,4:00 PM,1:00 PM,
Volume,26,1008,199,9,45,3,,19,9,1,5,1,1,37,1240,

'===============================================================================================================================

Date:,Oct 02 2016,
Start Time,Motorcycles,Cars &,2 Axle,Buses,2 Axle,3 Axle,4 Axle,<5 Axle,5 Axle,>6 Axle,<6 Axle,6 Axle,>6 Axle,Not,Total
,,Trailer,Long,,6 Tire,Single,Single,Double,Double,Double,Multi,Multi,Multi,Classified
12:00 AM,0,308,40,1,10,0,0,5,0,0,0,0,0,4,368,
1:00 AM,0,111,18,2,3,0,0,1,0,0,0,0,0,1,136,
2:00 AM,0,73,11,0,5,0,0,7,0,0,0,0,0,10,106,
3:00 AM,0,62,11,0,0,0,0,10,0,0,0,0,0,4,87,
4:00 AM,0,102,16,0,1,0,0,6,0,0,0,0,0,12,137,
5:00 AM,0,267,36,2,4,0,0,13,0,0,0,0,0,2,324,
6:00 AM,0,411,50,3,11,0,0,9,0,0,0,0,0,7,491,
7:00 AM,0,414,69,1,16,0,0,11,0,0,0,0,0,20,531,
8:00 AM,0,575,108,1,17,0,0,10,1,0,0,0,0,6,718,
9:00 AM,0,777,97,0,16,0,0,10,0,0,0,0,0,3,903,
10:00 AM,0,924,125,3,34,0,0,15,0,0,0,0,0,13,1114,
11:00 AM,0,1022,129,7,33,0,0,20,0,0,0,0,0,5,1216,
12:00 PM,0,961,126,3,38,0,0,24,0,0,1,0,0,4,1157,
1:00 PM,0,971,162,2,27,0,0,17,0,0,1,0,0,9,1189,
2:00 PM,8,901,172,1,43,0,0,10,5,0,0,0,0,35,1175,
3:00 PM,8,825,193,1,53,0,0,10,6,0,0,0,0,47,1143,
4:00 PM,2,837,139,9,38,0,0,20,0,0,0,0,0,4,1049,
5:00 PM,0,884,144,1,38,0,0,15,0,0,0,0,0,3,1085,
6:00 PM,0,901,140,2,23,0,0,24,2,0,0,0,0,8,1100,
7:00 PM,0,783,119,3,29,0,0,17,0,0,1,0,0,9,961,
8:00 PM,0,658,106,3,19,0,0,10,0,0,2,0,0,5,803,
9:00 PM,0,572,81,1,22,0,0,9,0,0,0,0,0,3,688,
10:00 PM,0,384,37,2,7,0,0,8,0,0,2,0,0,3,443,
11:00 PM,0,159,22,0,3,0,0,9,0,0,4,0,0,12,209,
Day Total,18,13882,2151,48,490,0,0,290,14,0,11,0,0,229,17133,
Percent,0.1%,81.0%,12.6%,0.3%,2.9%,0.0%,0.0%,1.7%,0.1%,0.0%,0.1%,0.0%,0.0%,1.3%,
ADT,17133

AM Peak,,11:00 AM,11:00 AM,11:00 AM,10:00 AM,,,11:00 AM,8:00 AM,,,,,7:00 AM,11:00 AM,
Volume,,1022,129,7,34,,,20,1,,,,,20,1216,

PM Peak,2:00 PM,1:00 PM,3:00 PM,4:00 PM,3:00 PM,,,12:00 PM,3:00 PM,,11:00 PM,,,3:00 PM,1:00 PM,
Volume,8,971,193,9,53,,,24,6,,4,,,47,1189,

'===============================================================================================================================

Date:,Oct 03 2016,
Start Time,Motorcycles,Cars &,2 Axle,Buses,2 Axle,3 Axle,4 Axle,<5 Axle,5 Axle,>6 Axle,<6 Axle,6 Axle,>6 Axle,Not,Total
,,Trailer,Long,,6 Tire,Single,Single,Double,Double,Double,Multi,Multi,Multi,Classified
12:00 AM,0,113,13,0,1,0,0,15,0,0,2,0,0,5,149,
1:00 AM,0,59,12,1,4,0,0,10,0,0,2,0,0,5,93,
2:00 AM,0,49,15,0,3,0,0,15,0,0,4,0,0,11,97,
3:00 AM,0,113,21,2,5,0,0,20,0,0,8,0,0,13,182,
4:00 AM,0,330,70,2,21,0,0,33,0,0,10,0,0,14,480,
5:00 AM,0,913,205,3,54,0,0,67,1,0,10,0,0,20,1273,
6:00 AM,0,968,206,6,71,0,0,43,0,0,3,0,0,16,1313,
7:00 AM,5,843,178,17,70,4,0,41,12,0,9,0,0,38,1217,
8:00 AM,8,811,158,11,49,5,0,31,22,0,7,0,0,59,1161,
9:00 AM,3,822,153,9,77,3,0,60,7,0,5,1,0,20,1160,
10:00 AM,0,719,141,18,51,0,0,98,0,1,10,0,0,10,1048,
11:00 AM,0,714,135,11,53,0,0,82,0,0,6,0,0,10,1011,
12:00 PM,0,686,138,19,47,0,0,69,0,0,9,0,0,11,979,
1:00 PM,0,706,152,13,45,0,0,62,1,0,3,0,0,9,991,
2:00 PM,0,787,147,6,55,0,0,51,0,0,2,0,0,14,1062,
3:00 PM,0,721,125,4,55,0,0,35,0,0,3,0,0,5,948,
4:00 PM,0,751,136,7,50,0,0,23,0,0,1,0,0,9,977,
5:00 PM,0,766,139,2,35,0,0,28,0,0,0,0,0,9,979,
6:00 PM,0,628,86,2,37,0,0,18,0,0,0,0,0,7,778,
7:00 PM,1,387,57,1,20,1,0,17,1,0,3,0,0,0,488,
8:00 PM,0,280,49,2,10,0,0,12,0,0,2,0,0,2,357,
9:00 PM,0,300,36,0,14,0,0,17,0,0,3,0,0,7,377,
10:00 PM,0,256,29,0,4,0,0,14,0,0,3,0,0,4,310,
11:00 PM,0,104,23,1,5,0,0,15,0,0,5,0,0,9,162,
Day Total,17,12826,2424,137,836,13,0,876,44,1,110,1,0,307,17592,
Percent,0.1%,72.9%,13.8%,0.8%,4.8%,0.1%,0.0%,5.0%,0.3%,0.0%,0.6%,0.0%,0.0%,1.7%,
ADT,17592

AM Peak,8:00 AM,6:00 AM,6:00 AM,10:00 AM,9:00 AM,8:00 AM,,10:00 AM,8:00 AM,10:00 AM,4:00 AM,9:00 AM,,8:00 AM,6:00 AM,
Volume,8,968,206,18,77,5,,98,22,1,10,1,,59,1313,

