Data File:,'13211532 NB SB 2392N.rdf'
Site Code:,'17I NB SB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
53,NB,6/11/2015 1:05:40.158,9,637,13,58.56,364.52,364.63,1.37,18.86,4.42,3.52,20.75,3.70,7.60,15.85,3.84
54,SB,6/11/2015 1:07:41.609,6,618,10,55.65,430.23,430.28,-1.16,15.82,4.35,31.73,5.21,5.14
55,SB,6/11/2015 1:12:05.459,2,588,3,71.27,263.09,263.85,-5.63,10.43
56,NB,6/11/2015 1:12:56.725,4,608,8,57.66,435.65,436.57,0.13,13.67,4.27,32.41
57,NB,6/11/2015 1:14:13.430,2,583,2,72.77,76.12,76.71,-4.07,9.26
58,SB,6/11/2015 1:14:47.869,2,583,2,56.71,162.31,162.41,4.30,8.45
59,NB,6/11/2015 1:14:56.236,2,583,2,61.72,42.72,42.81,-4.26,8.96
60,NB,6/11/2015 1:16:05.488,2,583,2,59.66,69.15,69.25,-2.40,8.66
61,SB,6/11/2015 1:16:33.981,2,583,2,57.36,106.01,106.11,0.76,8.18
62,SB,6/11/2015 1:18:14.890,2,583,2,62.67,100.81,100.91,-5.90,9.44
63,SB,6/11/2015 1:20:39.462,2,583,2,74.72,144.47,144.57,-13.95,8.64
64,NB,6/11/2015 1:23:07.830,2,592,4,62.67,422.24,422.34,1.43,22.77
65,NB,6/11/2015 1:23:24.448,9,637,13,60.79,16.37,16.62,-0.00,11.80,6.23,4.16,32.73,4.00,4.11,3.93,3.74
66,SB,6/11/2015 1:23:45.532,2,583,2,54.83,185.99,186.07,-2.70,9.92
67,SB,6/11/2015 1:25:54.284,2,583,2,64.02,128.63,128.75,-7.19,9.42
68,SB,6/11/2015 1:26:03.131,5,613,9,58.33,8.75,8.85,-0.32,17.68,4.37,34.64,4.29
69,SB,6/11/2015 1:27:45.445,2,583,2,71.27,101.60,102.31,-1.30,9.13
70,SB,6/11/2015 1:28:32.483,6,618,10,59.50,46.95,47.04,-0.95,10.56,4.43,32.31,5.13,5.05
71,SB,6/11/2015 1:33:35.437,5,613,9,58.26,302.30,302.95,-0.24,11.45,4.47,32.76,6.10
72,NB,6/11/2015 1:36:23.658,5,613,9,59.90,778.41,779.21,-0.85,14.79,7.77,22.55,4.05
73,NB,6/11/2015 1:36:23.751,2,592,4,46.50,0.00,0.09,5.48,35.49
74,SB,6/11/2015 1:37:24.403,5,613,9,64.11,228.33,228.97,-0.16,12.79,4.45,32.27,4.24
75,SB,6/11/2015 1:37:29.938,5,613,9,62.85,4.97,5.53,0.45,12.62,4.36,32.00,5.50
76,SB,6/11/2015 1:39:14.636,2,583,2,59.90,104.11,104.70,-2.85,9.83
77,SB,6/11/2015 1:39:16.655,2,583,2,59.34,1.91,2.02,-6.85,8.86
78,NB,6/11/2015 1:39:42.939,8,636,13,60.71,198.68,199.19,0.76,18.62,4.46,3.82,15.41,4.07,19.22,4.10
79,SB,6/11/2015 1:42:45.951,2,583,2,60.06,209.19,209.30,5.90,8.56
80,SB,6/11/2015 1:43:31.004,7,633,13,61.46,44.96,45.05,0.23,13.82,21.27,9.65,22.16,9.50,22.39
81,NB,6/11/2015 1:45:07.405,2,583,2,74.47,323.69,324.47,-7.63,8.77
82,NB,6/11/2015 1:45:21.338,2,588,3,60.88,13.85,13.93,3.06,12.21
83,NB,6/11/2015 1:48:14.371,2,588,3,67.50,172.90,173.03,-5.25,11.38
84,SB,6/11/2015 1:51:14.744,2,583,2,52.02,462.64,463.74,-3.49,9.15
85,SB,6/11/2015 1:51:16.451,2,583,2,53.71,1.59,1.71,-4.54,8.82
86,NB,6/11/2015 1:51:17.464,2,592,4,52.82,182.98,183.09,0.80,24.27
87,NB,6/11/2015 1:51:17.682,2,592,4,35.10,0.00,0.22,1.04,23.67
88,NB,6/11/2015 1:51:17.735,3,594,4,10.75,0.00,0.05,1.81,40.06,15.02
89,SB,6/11/2015 1:51:17.784,3,594,4,13.43,1.22,1.33,-0.35,39.89,8.88
90,SB,6/11/2015 1:51:20.204,2,600,5,21.06,0.00,2.42,1.54,12.70
91,SB,6/11/2015 1:51:20.762,2,588,3,37.02,0.15,0.56,-1.92,11.09
92,SB,6/11/2015 1:52:07.079,7,633,13,59.11,46.11,46.32,-0.28,13.48,21.67,9.00,21.94,9.42,21.80
93,SB,6/11/2015 1:54:34.994,2,583,2,81.54,146.79,147.91,-7.62,9.24
94,NB,6/11/2015 1:56:07.411,2,583,2,70.48,286.86,289.68,-5.26,8.65
95,SB,6/11/2015 1:56:25.888,7,622,10,54.49,110.82,110.89,-0.58,12.81,5.76,4.28,32.73,4.15,4.17
96,NB,6/11/2015 1:57:14.188,2,592,4,70.59,66.69,66.78,0.00,21.12
97,NB,6/11/2015 2:01:36.935,5,616,9,63.74,262.54,262.75,1.34,18.40,4.23,18.95,23.23
98,SB,6/11/2015 2:02:29.692,2,583,2,88.66,363.00,363.80,-32.35,8.85
99,SB,6/11/2015 2:04:18.649,2,583,2,66.10,108.89,108.96,-10.91,9.33
100,SB,6/11/2015 2:05:30.808,5,613,9,59.26,72.06,72.16,0.00,11.51,4.46,35.77,4.22
101,SB,6/11/2015 2:05:39.362,4,626,11,56.78,7.91,8.55,-0.64,12.95,24.95,9.04
102,SB,6/11/2015 2:08:04.480,5,613,9,58.72,144.56,145.12,0.52,19.99,4.49,36.45,4.32
103,SB,6/11/2015 2:12:16.097,2,592,4,61.63,250.86,251.62,-0.00,22.50
104,NB,6/11/2015 2:12:35.887,2,588,3,63.38,658.26,658.95,-5.55,10.38
105,SB,6/11/2015 2:16:12.796,2,583,2,78.95,236.45,236.70,13.29,8.67
106,SB,6/11/2015 2:19:38.037,6,618,10,57.58,205.17,205.24,1.19,12.70,4.42,33.55,4.10,4.14
107,SB,6/11/2015 2:20:04.742,5,613,9,54.96,26.01,26.70,0.38,13.38,4.53,35.19,4.16
108,SB,6/11/2015 2:22:08.143,5,613,9,62.93,122.69,123.40,1.73,15.92,4.47,33.38,4.25
109,SB,6/11/2015 2:26:16.186,6,618,10,60.47,247.42,248.04,0.12,12.68,4.40,34.47,4.16,4.20
110,SB,6/11/2015 2:26:29.666,2,600,5,58.64,12.81,13.48,0.54,12.38
111,SB,6/11/2015 2:31:21.173,2,588,3,56.35,291.36,291.51,-4.40,10.51
112,NB,6/11/2015 2:36:16.803,4,602,7,61.80,1420.80,1420.92,4.04,12.06,5.14,8.21
