Data File:,'13211531 NB SB 2385N.rdf'
Site Code:,'17H NB SB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
52,NB,6/11/2015 1:07:16.510,2,583,2,57.43,0.23,0.88,14.47,8.01
53,SB,6/11/2015 1:10:47.765,2,588,3,74.72,287.04,287.74,-12.83,10.41
54,SB,6/11/2015 1:13:12.193,2,583,2,60.71,144.33,144.43,-0.00,8.32
55,NB,6/11/2015 1:14:32.229,4,610,8,57.21,435.62,435.72,-2.24,13.54,35.97,3.81
56,SB,6/11/2015 1:14:54.015,2,583,2,62.23,101.73,101.82,-6.78,8.06
57,NB,6/11/2015 1:15:28.734,2,583,2,71.61,55.87,56.51,-7.82,9.11
58,NB,6/11/2015 1:16:25.150,2,583,2,61.55,56.33,56.42,-6.85,8.79
59,SB,6/11/2015 1:16:42.872,2,583,2,61.97,108.77,108.86,-7.32,9.42
60,NB,6/11/2015 1:17:38.276,2,583,2,58.03,73.03,73.13,-2.23,8.58
61,SB,6/11/2015 1:19:25.810,2,583,2,77.17,162.83,162.94,1.74,8.68
62,SB,6/11/2015 1:21:54.726,2,583,2,52.14,148.84,148.92,-4.64,9.85
63,SB,6/11/2015 1:24:17.112,5,613,9,44.73,142.26,142.39,-0.10,17.51,4.30,34.23,4.15
64,SB,6/11/2015 1:24:18.914,2,583,2,44.20,0.89,1.80,-3.57,9.35
65,NB,6/11/2015 1:24:35.296,2,592,4,62.15,416.92,417.02,1.76,22.58
66,NB,6/11/2015 1:25:01.786,2,588,3,55.30,26.24,26.49,3.81,11.84
67,NB,6/11/2015 1:25:02.005,2,592,4,38.59,0.07,0.22,-3.68,25.38
68,NB,6/11/2015 1:25:02.559,2,581,1,55.37,0.10,0.55,-13.13,4.17
69,SB,6/11/2015 1:26:28.162,2,583,2,78.25,129.10,129.25,-36.42,8.98
70,SB,6/11/2015 1:26:57.842,5,613,9,59.03,29.60,29.68,-0.52,10.48,4.39,32.28,5.00
71,SB,6/11/2015 1:31:58.317,2,588,3,57.43,299.87,300.48,-6.44,11.32
72,SB,6/11/2015 1:31:58.500,2,592,4,54.63,0.05,0.18,4.55,37.28
73,SB,6/11/2015 1:35:55.847,5,613,9,63.38,236.89,237.35,0.80,12.62,4.39,31.73,4.18
74,SB,6/11/2015 1:36:00.446,5,613,9,62.76,4.03,4.60,0.00,12.54,4.37,31.79,5.42
75,SB,6/11/2015 1:37:40.801,2,583,2,60.79,99.77,100.35,-2.25,9.79
76,SB,6/11/2015 1:37:42.171,2,583,2,61.89,1.26,1.37,-9.55,8.76
77,NB,6/11/2015 1:37:55.993,5,613,9,58.95,773.38,773.43,-1.23,10.22,4.30,30.04,3.96
78,NB,6/11/2015 1:37:56.210,2,592,4,39.27,0.00,0.22,-6.06,22.09
