Data File:,'13211535 SB NB 2401N.rdf'
Site Code:,'17L SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
53,SB,6/11/2015 1:11:58.627,5,613,9,55.23,435.37,436.06,-0.39,15.65,4.07,31.87,5.08
54,NB,6/11/2015 1:12:02.065,2,583,2,58.49,48.72,48.81,-6.00,8.61
55,SB,6/11/2015 1:15:13.092,2,588,3,77.58,193.77,194.46,-8.65,10.46
56,SB,6/11/2015 1:18:35.952,2,583,2,63.47,202.77,202.86,1.01,8.33
57,NB,6/11/2015 1:19:15.599,5,613,9,61.89,433.43,433.53,1.62,11.95,6.24,37.39,8.63
58,NB,6/11/2015 1:19:17.702,2,592,4,62.23,1.40,2.10,-0.69,22.73
59,SB,6/11/2015 1:20:21.031,2,583,2,64.48,104.99,105.08,-4.34,8.03
60,SB,6/11/2015 1:22:02.533,2,583,2,62.76,101.42,101.50,-6.78,9.42
61,SB,6/11/2015 1:25:48.612,2,583,2,64.95,225.98,226.08,-1.04,8.62
62,SB,6/11/2015 1:28:02.093,2,583,2,60.55,133.39,133.48,-5.10,9.87
63,SB,6/11/2015 1:29:18.185,2,583,2,61.13,75.98,76.09,-4.00,9.28
64,SB,6/11/2015 1:29:52.548,5,613,9,63.93,34.26,34.36,-0.98,17.55,4.10,34.20,4.02
65,SB,6/11/2015 1:30:58.625,2,583,2,73.37,65.43,66.08,-9.85,9.06
66,SB,6/11/2015 1:32:32.107,4,608,8,59.74,93.40,93.48,-5.45,10.45,4.12,31.72
67,NB,6/11/2015 1:32:32.156,2,592,4,26.97,794.20,794.45,3.71,19.88
68,NB,6/11/2015 1:35:52.662,5,613,9,65.81,200.01,200.51,-1.21,18.70,4.55,18.55,4.21
69,NB,6/11/2015 1:35:53.339,2,581,1,66.20,0.20,0.68,-17.70,4.23
70,SB,6/11/2015 1:37:41.538,5,613,9,57.96,308.89,309.43,0.00,11.34,4.45,32.57,6.09
71,SB,6/11/2015 1:41:11.539,5,613,9,60.79,209.36,210.00,1.14,12.56,4.08,31.59,3.80
72,SB,6/11/2015 1:41:16.182,3,605,8,62.93,4.05,4.64,1.02,12.63,36.40
73,NB,6/11/2015 1:41:40.853,2,583,2,70.93,347.47,347.51,-13.12,8.72
74,NB,6/11/2015 1:41:46.119,2,588,3,76.12,5.18,5.27,-10.57,12.04
75,SB,6/11/2015 1:42:32.134,2,583,2,76.64,75.42,75.95,-11.65,8.72
76,SB,6/11/2015 1:42:49.978,2,583,2,72.54,17.77,17.84,-11.40,9.68
77,NB,6/11/2015 1:44:37.362,2,588,3,64.39,171.14,171.24,-5.29,11.43
78,SB,6/11/2015 1:46:36.189,2,583,2,64.57,226.12,226.21,-1.03,8.53
79,NB,6/11/2015 1:46:53.629,5,613,9,54.36,136.15,136.27,-0.46,16.96,4.34,30.95,4.17
80,NB,6/11/2015 1:47:12.483,5,615,9,61.55,18.14,18.85,1.07,12.39,32.77,4.22,8.42
81,SB,6/11/2015 1:47:24.370,7,633,13,60.96,48.09,48.18,-0.15,13.74,21.14,9.68,22.03,9.29,22.15
82,NB,6/11/2015 1:52:47.248,2,583,2,68.53,334.13,334.77,-1.21,8.70
83,NB,6/11/2015 1:53:53.689,2,592,4,72.30,66.35,66.44,1.17,21.23
84,SB,6/11/2015 1:54:53.072,2,583,2,71.72,447.60,448.70,-10.86,8.75
85,SB,6/11/2015 1:54:54.897,2,583,2,71.15,1.74,1.83,-1.35,8.76
86,SB,6/11/2015 1:55:21.093,2,583,2,57.88,26.11,26.20,-4.83,9.10
87,SB,6/11/2015 1:56:14.380,7,633,13,55.99,53.18,53.29,-0.06,13.41,21.57,8.91,22.04,9.44,21.95
88,SB,6/11/2015 1:57:37.919,2,583,2,78.12,82.35,83.54,-8.17,9.45
89,NB,6/11/2015 1:57:54.528,5,616,9,67.19,240.64,240.84,1.57,18.51,4.70,18.52,23.56
90,SB,6/11/2015 2:00:47.700,7,622,10,54.63,189.70,189.78,-0.42,12.67,5.75,4.18,32.62,4.05,4.22
91,SB,6/11/2015 2:07:54.578,2,583,2,65.61,426.08,426.88,-4.95,9.26
92,NB,6/11/2015 2:08:48.017,2,588,3,62.76,652.83,653.49,-7.66,10.37
93,SB,6/11/2015 2:09:31.867,4,608,8,59.03,97.19,97.29,0.13,11.45,4.06,35.20
94,SB,6/11/2015 2:09:45.946,5,613,9,59.18,13.49,14.08,-0.29,12.87,4.07,20.77,8.93
95,SB,6/11/2015 2:12:06.125,5,613,9,58.56,139.64,140.18,-1.01,20.07,4.00,36.47,4.01
96,SB,6/11/2015 2:16:12.331,2,592,4,62.49,245.46,246.21,-0.35,22.58
97,SB,6/11/2015 2:18:58.583,2,583,2,87.10,166.01,166.25,2.52,8.64
98,SB,6/11/2015 2:23:45.811,6,618,10,57.51,287.16,287.23,-1.26,12.65,4.05,33.72,3.82,4.18
99,SB,6/11/2015 2:24:26.218,5,613,9,54.76,39.71,40.41,-1.49,13.35,4.14,35.31,3.88
100,SB,6/11/2015 2:25:47.712,4,608,8,64.39,80.79,81.49,1.67,15.82,4.02,33.65
101,SB,6/11/2015 2:30:11.785,6,618,10,60.46,263.51,264.07,-1.79,12.66,4.04,34.40,4.06,4.05
102,SB,6/11/2015 2:30:33.030,2,600,5,58.33,20.57,21.24,-0.53,12.35
103,NB,6/11/2015 2:32:27.888,6,618,10,62.85,1419.76,1419.87,-0.52,12.25,5.28,34.95,5.17,5.05
104,SB,6/11/2015 2:35:35.129,2,588,3,55.85,301.95,302.10,-2.72,10.42
105,NB,6/11/2015 2:47:18.963,3,605,8,57.07,890.40,891.07,-0.24,12.29,37.65
106,SB,6/11/2015 2:48:27.139,7,633,13,59.90,771.88,772.01,0.22,13.04,21.62,8.99,22.84,8.95,21.96
107,NB,6/11/2015 2:50:21.391,4,609,8,59.82,181.83,182.43,0.56,12.23,35.02,4.27
108,SB,6/11/2015 2:52:07.354,2,588,3,64.11,219.10,220.21,-6.46,10.52
109,NB,6/11/2015 3:00:45.649,4,611,8,66.39,623.68,624.26,2.58,20.09,4.57,28.69
110,SB,6/11/2015 3:03:04.513,2,583,2,63.65,657.05,657.16,-7.51,8.86
111,NB,6/11/2015 3:04:11.444,3,601,6,63.83,205.25,205.79,-4.28,17.12,4.57
112,NB,6/11/2015 3:05:28.139,3,605,8,57.88,76.46,76.69,0.71,17.37,37.12
113,NB,6/11/2015 3:06:23.424,3,605,8,65.61,54.65,55.29,-0.80,12.95,33.42
114,SB,6/11/2015 3:09:15.737,4,610,8,62.93,371.13,371.22,-0.31,13.04,35.75,4.05
115,SB,6/11/2015 3:09:21.728,7,633,13,59.66,5.42,5.99,-0.07,13.16,20.83,9.93,22.81,8.97,22.59
