Data File:,'13211516 EB 1 2383N.rdf'
Site Code:,'13211516 EB1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11E'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
64,EB1,5/28/2015 5:37:37.391,4,608,8,46.68,121.50,121.62,-0.18,19.08,7.48,24.75
65,EB1,5/28/2015 5:38:19.604,2,588,3,64.08,41.48,42.21,4.91,11.90
66,EB1,5/28/2015 5:38:51.256,2,583,2,65.97,31.53,31.65,4.23,9.00
67,EB1,5/28/2015 5:40:12.837,2,588,3,65.84,81.49,81.58,-1.17,10.64
68,EB1,5/28/2015 5:45:44.057,2,600,5,69.53,331.11,331.22,0.00,12.72
69,EB1,5/28/2015 5:45:49.372,3,601,6,63.11,5.19,5.31,7.39,9.80,3.84
70,EB1,5/28/2015 5:46:48.493,4,610,8,73.33,58.97,59.12,5.23,13.19,16.80,7.12
71,EB1,5/28/2015 5:47:28.476,2,588,3,43.41,39.64,39.98,1.18,12.19
72,EB1,5/28/2015 5:47:28.720,3,593,4,46.61,0.05,0.24,-4.83,39.03,4.11
73,EB1,5/28/2015 5:49:05.884,2,588,3,57.38,96.52,97.16,0.70,11.84
74,EB1,5/28/2015 5:50:38.287,2,583,2,54.58,92.26,92.40,2.43,8.84
75,EB1,5/28/2015 5:50:55.849,2,583,2,66.76,17.45,17.56,-15.00,8.43
76,EB1,5/28/2015 5:51:12.031,2,588,3,65.71,16.10,16.18,-1.18,10.50
77,EB1,5/28/2015 5:52:47.786,2,583,2,65.97,95.65,95.76,-1.42,8.81
78,EB1,5/28/2015 5:52:50.553,3,605,8,57.58,2.68,2.77,2.41,14.28,21.33
79,EB1,5/28/2015 5:54:28.043,3,605,8,32.86,97.07,97.49,1.01,13.36,23.50
80,EB1,5/28/2015 5:54:28.259,2,592,4,29.82,0.00,0.22,-4.58,19.91
81,EB1,5/28/2015 5:55:31.235,2,583,2,11.81,62.51,62.98,-1.74,6.44
82,EB1,5/28/2015 5:55:31.497,4,610,8,28.94,0.00,0.26,1.76,16.74,20.87,2.28
83,EB1,5/28/2015 5:56:39.708,2,588,3,58.79,67.29,68.21,-0.00,12.03
84,EB1,5/28/2015 5:58:27.010,6,618,10,55.39,107.16,107.30,3.28,19.79,4.43,28.28,3.95,3.58
85,EB1,5/28/2015 6:00:18.786,2,583,2,64.20,111.05,111.78,-2.64,8.72
86,EB1,5/28/2015 6:00:27.762,9,637,13,60.17,8.88,8.98,0.22,20.68,4.19,3.61,26.43,4.97,8.67,3.64,16.43
87,EB1,5/28/2015 6:02:03.558,2,600,5,62.88,94.80,95.80,2.49,13.24
88,EB1,5/28/2015 6:02:47.464,2,588,3,61.95,43.76,43.91,1.04,10.02
89,EB1,5/28/2015 6:03:17.070,2,588,3,53.71,29.50,29.61,-1.91,10.59
90,EB1,5/28/2015 6:12:11.717,2,583,2,62.29,534.51,534.65,-2.36,8.93
91,EB1,5/28/2015 6:16:01.290,5,613,9,48.29,229.48,229.57,2.26,17.50,4.43,36.10,4.04
92,EB1,5/28/2015 6:17:52.295,2,583,2,64.32,110.14,111.00,-2.74,8.46
93,EB1,5/28/2015 6:22:42.109,2,583,2,58.28,289.72,289.81,-2.00,8.61
94,EB1,5/28/2015 6:22:46.150,2,583,2,70.11,3.94,4.04,-6.51,9.15
95,EB1,5/28/2015 6:23:07.428,3,601,6,65.45,21.19,21.28,6.26,10.02,3.92
96,EB1,5/28/2015 6:23:33.124,2,583,2,61.15,25.55,25.70,2.24,9.01
97,EB1,5/28/2015 6:24:00.446,2,600,5,13.82,27.22,27.32,4.16,15.52
98,EB1,5/28/2015 6:24:00.665,3,605,8,30.22,0.00,0.22,1.83,18.22,12.07
99,EB1,5/28/2015 6:24:05.528,2,600,5,62.06,4.19,4.86,3.15,13.42
100,EB1,5/28/2015 6:24:25.810,2,583,2,66.76,20.13,20.28,-5.97,8.62
101,EB1,5/28/2015 6:27:44.289,2,600,5,56.23,198.39,198.48,0.00,14.54
102,EB1,5/28/2015 6:27:49.233,5,613,9,60.27,4.77,4.94,4.67,16.96,4.29,24.63,4.31
103,EB1,5/28/2015 6:29:24.497,3,589,3,49.14,94.71,95.26,0.18,12.15,16.10
104,EB1,5/28/2015 6:29:26.630,2,583,2,51.32,1.74,2.13,0.61,9.79
105,EB1,5/28/2015 6:30:20.315,2,588,3,57.58,53.55,53.68,0.00,11.09
106,EB1,5/28/2015 6:31:48.137,2,583,2,72.07,87.69,87.82,0.00,8.86
107,EB1,5/28/2015 6:31:51.201,2,583,2,64.32,2.98,3.06,-5.68,8.11
108,EB1,5/28/2015 6:32:06.083,2,588,3,57.58,14.80,14.88,-1.36,12.22
109,EB1,5/28/2015 6:32:11.359,2,592,4,56.99,5.13,5.28,0.00,19.76
110,EB1,5/28/2015 6:33:34.088,2,583,2,61.83,82.49,82.73,1.21,8.58
111,EB1,5/28/2015 6:33:38.823,2,583,2,56.14,4.64,4.74,-3.29,9.33
112,EB1,5/28/2015 6:33:53.921,2,588,3,65.33,14.99,15.10,-9.41,10.13
113,EB1,5/28/2015 6:34:06.104,2,592,4,49.50,12.08,12.18,1.49,21.60
114,EB1,5/28/2015 6:34:16.978,2,583,2,70.40,10.58,10.87,0.00,9.37
115,EB1,5/28/2015 6:35:50.882,2,588,3,58.79,93.81,93.90,0.82,10.88
116,EB1,5/28/2015 6:36:13.072,2,588,3,57.29,22.06,22.19,-2.11,11.63
117,EB1,5/28/2015 6:36:41.578,2,588,3,59.11,28.37,28.51,-1.54,11.70
118,EB1,5/28/2015 6:36:43.039,2,588,3,58.49,1.33,1.46,-1.50,11.59
119,EB1,5/28/2015 6:38:59.690,2,583,2,67.70,136.52,136.65,-4.46,9.05
120,EB1,5/28/2015 6:39:02.947,2,583,2,60.38,3.17,3.26,1.17,8.27
121,EB1,5/28/2015 6:39:41.860,2,583,2,62.76,38.82,38.91,3.78,8.66
122,EB1,5/28/2015 6:40:31.842,2,600,5,63.23,49.89,49.98,0.00,17.50
123,EB1,5/28/2015 6:40:58.404,2,600,5,55.58,26.37,26.56,-0.56,13.42
124,EB1,5/28/2015 6:42:28.834,2,583,2,59.42,90.27,90.43,-2.12,8.60
125,EB1,5/28/2015 6:42:31.602,2,588,3,60.17,2.67,2.77,0.00,11.29
126,EB1,5/28/2015 6:42:35.143,2,583,2,66.23,3.41,3.54,0.00,8.62
127,EB1,5/28/2015 6:44:05.122,2,583,2,56.04,89.89,89.98,2.82,8.25
128,EB1,5/28/2015 6:44:16.163,2,588,3,63.71,10.94,11.04,3.35,10.22
129,EB1,5/28/2015 6:45:27.214,2,592,4,30.83,70.94,71.05,1.49,22.31
130,EB1,5/28/2015 6:45:27.272,2,592,4,34.98,0.00,0.06,-2.75,24.40
131,EB1,5/28/2015 6:46:51.134,2,583,2,56.90,83.38,83.86,-1.84,8.69
132,EB1,5/28/2015 6:47:08.638,2,600,5,63.23,17.40,17.50,1.71,13.04
133,EB1,5/28/2015 6:47:33.213,2,583,2,62.41,24.43,24.58,-3.68,8.60
134,EB1,5/28/2015 6:48:07.414,2,588,3,62.18,34.11,34.20,2.72,11.72
135,EB1,5/28/2015 6:48:34.053,2,583,2,60.38,26.51,26.64,1.10,8.80
136,EB1,5/28/2015 6:48:42.592,2,588,3,61.72,8.44,8.54,-0.87,11.76
137,EB1,5/28/2015 6:50:27.739,2,583,2,62.99,105.02,105.15,-2.57,8.47
138,EB1,5/28/2015 6:52:15.713,2,600,5,58.49,107.88,107.97,-1.17,14.83
139,EB1,5/28/2015 6:53:03.017,2,600,5,66.89,47.13,47.30,3.04,13.03
140,EB1,5/28/2015 6:53:16.063,2,583,2,61.49,12.91,13.05,-2.12,9.56
141,EB1,5/28/2015 6:53:54.776,2,600,5,69.82,38.61,38.71,2.21,13.55
142,EB1,5/28/2015 6:53:59.619,3,601,6,65.07,4.71,4.84,-0.91,9.42,3.82
143,EB1,5/28/2015 6:55:26.288,3,601,6,60.27,86.53,86.67,3.73,9.39,3.62
144,EB1,5/28/2015 6:55:28.300,2,588,3,60.93,1.86,2.01,-6.77,10.04
145,EB1,5/28/2015 6:55:31.249,2,600,5,12.81,2.84,2.95,2.24,16.85
