Data File:,'13211516 WB EB 2 2405N.rdf'
Site Code:,'13211516 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11E'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
62,WB,5/28/2015 4:52:13.420,2,583,2,65.71,266.46,266.56,-19.43,8.00
63,WB,5/28/2015 4:59:10.333,2,583,2,68.67,416.83,416.91,-14.14,8.78
64,WB,5/28/2015 5:01:23.808,2,583,2,61.95,133.39,133.48,-7.01,8.76
65,EB2,5/28/2015 5:04:47.214,2,583,2,58.28,873.15,873.25,-9.75,7.81
66,WB,5/28/2015 5:06:57.371,2,583,2,67.84,333.47,333.56,-13.96,8.58
67,WB,5/28/2015 5:09:21.402,2,583,2,57.78,143.94,144.03,0.00,8.64
68,EB2,5/28/2015 5:11:55.848,2,581,1,57.48,428.54,428.63,3.03,5.52
69,WB,5/28/2015 5:13:49.762,2,583,2,68.96,268.26,268.36,-13.18,8.50
70,WB,5/28/2015 5:15:32.368,2,588,3,67.57,102.52,102.61,0.00,11.55
71,WB,5/28/2015 5:15:33.850,3,605,8,67.57,1.36,1.48,1.51,13.00,13.98
72,WB,5/28/2015 5:19:03.195,2,600,5,51.16,209.07,209.35,5.25,14.97
73,WB,5/28/2015 5:20:57.289,2,583,2,62.06,113.90,114.09,-5.58,9.25
74,WB,5/28/2015 5:21:01.333,2,588,3,60.82,3.94,4.04,-0.85,11.49
75,WB,5/28/2015 5:22:57.801,2,583,2,66.49,116.34,116.47,-16.90,9.53
76,WB,5/28/2015 5:23:05.641,2,583,2,58.90,7.74,7.84,-6.70,7.88
77,WB,5/28/2015 5:23:29.089,2,588,3,64.08,23.36,23.45,-3.14,10.92
78,WB,5/28/2015 5:25:55.050,2,588,3,52.36,145.85,145.96,0.59,10.70
79,WB,5/28/2015 5:26:09.684,2,588,3,54.23,14.49,14.63,-1.29,10.80
80,WB,5/28/2015 5:26:10.011,2,581,1,54.14,0.19,0.33,1.27,5.48
81,WB,5/28/2015 5:26:31.589,4,610,8,59.00,21.51,21.58,-1.37,14.55,13.94,3.98
82,WB,5/28/2015 5:26:33.600,2,583,2,58.59,1.64,2.01,-4.88,8.90
83,WB,5/28/2015 5:26:50.554,2,588,3,62.41,16.85,16.95,0.00,10.77
84,WB,5/28/2015 5:26:53.297,2,600,5,62.06,2.63,2.74,-1.46,14.24
85,WB,5/28/2015 5:30:56.564,2,583,2,57.38,243.11,243.27,3.04,8.22
86,WB,5/28/2015 5:31:00.938,2,588,3,60.27,4.28,4.37,2.48,11.68
87,WB,5/28/2015 5:31:14.406,2,583,2,56.99,13.34,13.47,-0.94,8.61
88,WB,5/28/2015 5:34:17.363,2,583,2,58.38,182.85,182.96,0.97,8.96
89,WB,5/28/2015 5:36:31.392,2,600,5,71.92,133.92,134.03,1.26,12.95
90,WB,5/28/2015 5:39:41.107,6,618,10,63.96,189.59,189.72,0.18,18.21,4.41,32.05,3.97,4.36
91,WB,5/28/2015 5:39:47.999,2,600,5,59.11,6.22,6.89,0.69,13.05
92,WB,5/28/2015 5:39:54.490,2,583,2,57.09,6.34,6.49,-1.77,9.14
93,WB,5/28/2015 5:42:08.001,4,610,8,66.49,133.40,133.51,-1.72,14.16,23.77,6.69
94,WB,5/28/2015 5:42:47.970,2,588,3,72.07,39.52,39.97,13.40,11.33
95,WB,5/28/2015 5:43:44.927,2,583,2,57.09,56.85,56.96,-5.64,8.53
96,WB,5/28/2015 5:44:15.094,2,583,2,62.99,30.06,30.17,-9.25,8.12
97,EB2,5/28/2015 5:46:46.378,3,605,8,72.70,2090.46,2090.53,-3.88,12.93,16.55
98,WB,5/28/2015 5:47:00.159,2,600,5,62.18,164.98,165.06,1.61,13.14
99,WB,5/28/2015 5:50:39.531,2,588,3,75.99,219.23,219.37,-0.00,12.01
100,EB2,5/28/2015 5:50:50.916,2,583,2,74.97,244.26,244.54,-14.83,8.50
101,WB,5/28/2015 5:51:03.970,2,583,2,54.94,24.33,24.44,-7.37,8.67
102,WB,5/28/2015 5:51:05.112,2,588,3,54.94,1.03,1.14,-0.60,12.08
103,WB,5/28/2015 5:52:59.865,2,583,2,58.79,114.60,114.75,-6.59,9.27
104,WB,5/28/2015 5:54:00.093,2,583,2,68.81,60.12,60.23,-10.60,7.92
105,WB,5/28/2015 5:54:46.755,4,610,8,71.15,46.58,46.66,-3.13,14.50,15.86,4.45
106,WB,5/28/2015 5:55:27.923,2,583,2,67.57,40.84,41.17,-15.92,8.23
107,WB,5/28/2015 5:56:09.523,2,583,2,67.70,41.52,41.60,-11.41,9.29
108,WB,5/28/2015 5:56:53.476,2,588,3,62.52,43.86,43.95,3.89,11.12
109,WB,5/28/2015 5:59:08.787,2,583,2,52.78,135.19,135.31,-4.69,9.44
110,WB,5/28/2015 5:59:55.172,2,600,5,59.63,46.26,46.39,-0.71,13.05
111,WB,5/28/2015 6:00:53.535,2,588,3,69.24,58.21,58.36,-0.00,11.75
112,WB,5/28/2015 6:01:50.487,2,600,5,64.82,56.84,56.95,-2.73,12.98
113,WB,5/28/2015 6:03:11.674,2,583,2,65.33,81.05,81.19,-9.47,8.83
114,WB,5/28/2015 6:03:31.111,7,623,10,62.29,19.35,19.44,-1.69,12.33,4.29,33.16,4.02,4.23,4.31
115,WB,5/28/2015 6:04:46.306,2,583,2,60.49,74.52,75.19,5.97,8.22
116,WB,5/28/2015 6:05:51.455,2,583,2,76.86,65.06,65.15,-4.64,8.51
117,WB,5/28/2015 6:07:00.788,2,583,2,56.80,69.26,69.33,-8.29,8.51
118,WB,5/28/2015 6:09:05.356,2,583,2,66.36,124.47,124.57,-8.56,8.81
119,WB,5/28/2015 6:10:30.201,2,583,2,68.25,84.76,84.85,-4.71,8.78
120,WB,5/28/2015 6:11:03.570,2,583,2,74.97,33.28,33.37,-20.71,8.62
121,WB,5/28/2015 6:13:22.984,2,588,3,59.11,139.33,139.41,-1.53,11.77
122,WB,5/28/2015 6:13:37.927,2,583,2,58.69,14.81,14.94,-7.55,8.06
123,WB,5/28/2015 6:14:30.650,2,583,2,60.49,52.63,52.72,2.27,8.57
124,EB2,5/28/2015 6:15:57.204,3,605,8,68.39,1506.21,1506.29,2.36,13.16,17.02
125,WB,5/28/2015 6:16:45.205,2,600,5,59.31,134.46,134.55,-1.36,13.39
126,WB,5/28/2015 6:17:21.885,3,589,3,61.27,36.53,36.68,0.84,11.27,13.00
127,WB,5/28/2015 6:17:35.553,2,588,3,70.85,13.40,13.67,-2.65,11.67
128,WB,5/28/2015 6:17:44.418,5,615,9,64.32,8.75,8.86,-3.16,13.46,21.66,4.01,4.03
129,WB,5/28/2015 6:18:08.153,2,600,5,57.48,23.28,23.73,-0.57,14.52
130,WB,5/28/2015 6:18:12.495,2,583,2,60.38,4.17,4.34,-9.53,8.89
131,WB,5/28/2015 6:18:39.429,3,601,6,81.14,26.83,26.93,5.81,10.76,5.56
132,WB,5/28/2015 6:22:59.517,2,583,2,60.60,259.95,260.09,-8.69,8.78
133,WB,5/28/2015 6:23:01.521,2,583,2,60.82,1.90,2.00,-0.00,9.14
134,WB,5/28/2015 6:23:08.737,2,588,3,64.20,7.11,7.22,7.05,11.74
135,WB,5/28/2015 6:23:18.686,2,583,2,67.43,9.82,9.95,-7.28,9.08
136,WB,5/28/2015 6:23:51.632,2,583,2,63.47,32.85,32.95,-7.71,8.57
137,EB2,5/28/2015 6:23:57.333,2,583,2,62.99,479.83,480.13,-5.94,9.08
138,WB,5/28/2015 6:24:45.959,2,583,2,70.85,54.24,54.33,-11.77,9.06
139,WB,5/28/2015 6:25:52.641,2,583,2,63.59,66.59,66.68,-8.74,8.84
140,WB,5/28/2015 6:25:53.813,2,583,2,65.07,1.08,1.17,-9.42,8.78
141,WB,5/28/2015 6:26:30.037,2,588,3,61.72,36.13,36.22,-1.89,10.81
142,WB,5/28/2015 6:26:51.085,2,600,5,67.16,20.93,21.05,2.03,13.17
143,WB,5/28/2015 6:27:21.914,2,583,2,60.60,30.70,30.83,-1.10,8.83
144,WB,5/28/2015 6:28:00.336,3,601,6,57.58,38.32,38.42,-0.42,15.40,4.46
145,WB,5/28/2015 6:28:10.322,2,583,2,59.42,9.75,9.99,-6.64,8.17
146,WB,5/28/2015 6:28:12.609,2,583,2,54.32,2.19,2.29,-4.83,8.59
147,WB,5/28/2015 6:28:14.757,2,583,2,56.61,2.04,2.15,-0.97,8.13
148,EB2,5/28/2015 6:29:22.358,3,589,3,49.07,324.93,325.03,-1.09,12.18,15.91
149,WB,5/28/2015 6:29:30.906,2,583,2,60.38,76.05,76.15,1.04,9.32
150,WB,5/28/2015 6:30:20.045,2,588,3,60.49,49.03,49.14,-0.87,11.10
151,WB,5/28/2015 6:30:25.210,2,583,2,56.99,5.04,5.16,-0.93,8.68
152,WB,5/28/2015 6:30:37.279,2,583,2,61.72,11.96,12.07,-7.95,7.64
153,WB,5/28/2015 6:30:39.219,2,588,3,61.04,1.86,1.94,-0.86,11.49
154,WB,5/28/2015 6:30:42.838,2,588,3,64.45,3.49,3.62,1.02,11.51
155,WB,5/28/2015 6:32:15.369,2,588,3,63.11,92.41,92.53,-0.97,11.26
156,WB,5/28/2015 6:32:16.944,2,583,2,62.76,1.45,1.57,-7.57,9.81
157,WB,5/28/2015 6:32:34.488,2,583,2,65.58,17.44,17.54,-14.85,8.86
158,WB,5/28/2015 6:33:15.632,2,588,3,60.60,41.05,41.14,0.00,12.25
159,EB2,5/28/2015 6:33:32.683,2,583,2,67.70,249.93,250.32,-2.77,9.74
160,EB2,5/28/2015 6:33:51.781,2,588,3,65.33,19.00,19.10,-5.89,10.20
161,WB,5/28/2015 6:34:00.264,2,588,3,64.08,44.49,44.63,-1.07,10.70
162,WB,5/28/2015 6:34:31.052,8,636,13,60.93,30.67,30.79,0.41,19.85,4.67,14.28,4.47,32.48,5.11,16.77
163,WB,5/28/2015 6:34:46.087,2,600,5,59.31,13.94,15.03,0.71,12.89
164,WB,5/28/2015 6:34:50.376,2,583,2,57.58,4.14,4.29,-0.86,9.68
165,EB2,5/28/2015 6:36:08.380,2,600,5,63.83,136.49,136.60,-3.10,14.50
166,WB,5/28/2015 6:36:18.902,2,583,2,63.35,88.41,88.53,-14.87,8.68
167,WB,5/28/2015 6:36:42.512,2,583,2,60.82,23.52,23.61,-8.86,7.63
168,WB,5/28/2015 6:36:44.510,2,588,3,61.72,1.91,2.00,1.94,10.64
169,WB,5/28/2015 6:36:46.486,2,583,2,59.00,1.86,1.98,4.10,6.62
170,WB,5/28/2015 6:37:05.037,2,588,3,72.23,18.47,18.55,-4.29,11.41
171,WB,5/28/2015 6:39:19.414,2,600,5,63.83,134.27,134.38,1.75,13.11
172,WB,5/28/2015 6:41:02.685,4,610,8,57.68,103.13,103.27,1.60,14.10,14.28,3.63
173,WB,5/28/2015 6:41:20.985,2,588,3,60.71,17.92,18.30,-0.81,12.06
174,WB,5/28/2015 6:41:23.324,2,588,3,58.38,2.20,2.34,-1.56,11.13
175,WB,5/28/2015 6:42:56.377,6,618,10,61.60,92.92,93.05,0.34,18.92,4.46,29.39,3.93,3.94
176,WB,5/28/2015 6:43:20.135,4,602,7,60.27,23.09,23.76,-0.64,18.53,4.56,6.86
177,WB,5/28/2015 6:43:23.734,2,583,2,61.49,3.26,3.60,-2.33,8.67
178,WB,5/28/2015 6:43:46.936,3,601,6,64.82,23.11,23.20,-2.88,15.69,4.85
179,WB,5/28/2015 6:44:01.808,2,588,3,61.60,14.66,14.87,6.98,10.46
180,WB,5/28/2015 6:44:03.877,2,588,3,63.11,1.95,2.07,-3.62,12.03
181,WB,5/28/2015 6:44:30.249,2,588,3,60.17,26.24,26.37,0.00,11.95
182,WB,5/28/2015 6:45:04.466,6,620,10,60.60,34.08,34.22,-0.15,19.92,4.43,19.03,15.70,3.74
183,WB,5/28/2015 6:45:06.982,2,583,2,58.69,1.81,2.52,3.16,8.45
184,WB,5/28/2015 6:45:15.072,2,600,5,59.42,7.99,8.09,-1.40,13.01
185,WB,5/28/2015 6:46:16.189,4,610,8,56.23,60.97,61.12,-0.15,18.88,28.18,4.19
186,WB,5/28/2015 6:46:18.481,2,588,3,56.32,1.68,2.29,0.00,11.52
187,WB,5/28/2015 6:46:22.921,2,600,5,56.71,4.30,4.44,-1.24,12.85
188,WB,5/28/2015 6:46:26.212,2,583,2,61.95,3.14,3.29,3.39,9.28
189,WB,5/28/2015 6:46:28.023,2,588,3,63.11,1.71,1.81,0.93,11.82
190,WB,5/28/2015 6:46:44.909,2,600,5,68.12,16.76,16.89,-4.11,13.30
191,WB,5/28/2015 6:47:41.174,2,583,2,59.95,56.13,56.27,-1.08,8.75
192,WB,5/28/2015 6:47:42.519,2,583,2,59.21,1.25,1.34,0.00,8.55
193,WB,5/28/2015 6:47:44.835,2,600,5,59.53,2.22,2.32,2.10,13.29
194,WB,5/28/2015 6:47:45.963,2,588,3,60.49,0.98,1.13,0.96,10.16
195,WB,5/28/2015 6:48:07.675,2,583,2,66.63,21.60,21.71,-7.18,8.88
196,WB,5/28/2015 6:48:19.043,2,600,5,62.88,11.28,11.37,-1.54,14.06
197,WB,5/28/2015 6:48:20.386,2,583,2,62.99,1.19,1.34,-9.85,8.69
198,WB,5/28/2015 6:49:36.810,2,600,5,55.67,76.33,76.42,1.13,13.39
199,WB,5/28/2015 6:49:39.446,2,583,2,50.17,2.47,2.64,-2.96,9.22
200,WB,5/28/2015 6:49:40.797,2,583,2,50.32,1.22,1.35,-3.35,8.23
201,WB,5/28/2015 6:51:17.064,2,588,3,64.95,96.16,96.27,-1.95,12.23
202,WB,5/28/2015 6:51:31.136,3,605,8,67.29,13.94,14.07,0.00,13.36,14.33
203,WB,5/28/2015 6:51:35.248,2,600,5,62.64,3.83,4.11,0.00,13.37
204,WB,5/28/2015 6:52:15.718,2,583,2,67.29,40.32,40.47,-11.94,9.79
205,WB,5/28/2015 6:52:53.749,2,583,2,59.95,37.93,38.03,2.14,8.84
206,WB,5/28/2015 6:53:25.529,5,613,9,61.04,31.68,31.78,7.65,12.82,4.45,32.65,4.22
207,WB,5/28/2015 6:53:27.923,2,588,3,60.17,1.80,2.39,5.58,10.42
208,WB,5/28/2015 6:54:26.727,2,583,2,59.11,58.69,58.80,-6.15,8.68
209,WB,5/28/2015 6:54:30.604,2,583,2,58.49,3.78,3.88,0.00,9.11
210,EB2,5/28/2015 6:55:26.139,2,583,2,60.38,1157.60,1157.76,-10.44,9.85
211,WB,5/28/2015 6:56:13.235,2,583,2,62.41,102.52,102.63,-4.88,8.62
212,WB,5/28/2015 6:56:15.316,4,610,8,63.11,1.99,2.08,-0.00,12.35,17.94,6.00
213,WB,5/28/2015 6:56:17.931,2,588,3,62.41,2.22,2.61,1.87,11.45
214,WB,5/28/2015 6:56:49.278,2,600,5,60.27,31.22,31.35,0.67,14.25
215,WB,5/28/2015 6:57:05.744,2,583,2,65.33,16.31,16.47,-12.18,8.78
216,WB,5/28/2015 6:58:39.497,3,584,2,60.60,93.66,93.75,0.50,6.81,12.67
217,WB,5/28/2015 6:59:13.546,2,583,2,61.72,33.83,34.05,-10.08,8.96
218,WB,5/28/2015 6:59:18.963,2,583,2,63.35,5.32,5.42,-12.98,8.34
219,WB,5/28/2015 6:59:20.900,2,583,2,60.17,1.85,1.94,-10.31,9.00
220,WB,5/28/2015 6:59:22.778,2,588,3,59.63,1.78,1.88,1.55,12.04
221,WB,5/28/2015 6:59:25.376,2,583,2,58.69,2.46,2.60,-8.69,7.97
222,WB,5/28/2015 7:00:35.479,2,583,2,65.33,70.01,70.10,-11.82,9.05
223,WB,5/28/2015 7:01:17.552,2,583,2,57.19,41.98,42.07,1.95,8.46
224,WB,5/28/2015 7:01:26.214,2,581,1,62.64,8.56,8.66,-15.78,5.33
225,EB2,5/28/2015 7:01:29.566,3,594,4,59.21,363.32,363.43,7.89,20.23,13.51
226,WB,5/28/2015 7:02:10.870,2,600,5,62.99,44.60,44.66,-1.53,14.25
227,WB,5/28/2015 7:02:19.756,4,610,8,61.49,8.73,8.89,0.31,13.42,15.79,3.85
228,WB,5/28/2015 7:03:00.163,2,588,3,57.29,40.04,40.41,0.83,9.99
229,WB,5/28/2015 7:03:01.729,2,583,2,60.17,1.45,1.57,-2.34,8.10
230,WB,5/28/2015 7:04:17.091,3,589,3,61.38,75.27,75.36,0.00,10.92,11.85
231,WB,5/28/2015 7:04:18.580,2,600,5,60.49,1.24,1.49,0.69,14.20
232,WB,5/28/2015 7:04:38.058,2,600,5,60.17,19.32,19.48,2.72,14.17
233,WB,5/28/2015 7:06:42.209,5,613,9,59.11,123.99,124.15,5.55,16.54,4.42,28.96,4.10
234,WB,5/28/2015 7:06:42.972,3,601,6,59.21,0.14,0.76,-0.57,12.00,4.24
235,WB,5/28/2015 7:06:47.459,2,583,2,57.78,4.30,4.49,0.92,9.19
236,WB,5/28/2015 7:06:48.744,2,600,5,60.17,1.18,1.28,-1.39,13.63
237,WB,5/28/2015 7:07:08.135,2,583,2,64.32,19.24,19.39,-15.42,8.05
238,WB,5/28/2015 7:07:35.480,2,581,1,16.30,27.26,27.34,-2.76,4.32
239,EB2,5/28/2015 7:07:35.554,2,600,5,67.03,365.61,365.99,12.41,13.22
240,EB2,5/28/2015 7:07:35.629,2,583,2,24.50,0.00,0.08,4.55,7.31
241,WB,5/28/2015 7:07:35.706,2,600,5,55.95,0.05,0.23,-4.31,17.36
242,EB2,5/28/2015 7:07:58.078,2,583,2,62.88,22.25,22.45,-5.02,8.57
