Data File:,'13211526 NB SB2 2391N.rdf'
Site Code:,'17C NB SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
64,NB,6/11/2015 1:56:04.208,5,613,9,46.81,231.41,231.52,0.10,9.47,3.37,21.65,9.53
65,NB,6/11/2015 1:56:10.877,2,600,5,26.92,6.03,6.67,0.89,17.73
66,SB2,6/11/2015 1:59:42.328,2,583,2,75.14,488.83,488.88,-16.15,6.76
67,NB,6/11/2015 1:59:45.518,2,583,2,54.85,214.19,214.64,-8.67,6.54
68,SB2,6/11/2015 2:00:15.539,2,583,2,49.58,33.15,33.21,-1.50,7.06
69,NB,6/11/2015 2:01:02.592,2,600,5,51.01,76.99,77.07,-1.79,16.04
70,SB2,6/11/2015 2:03:32.820,5,613,9,44.21,197.18,197.28,0.47,15.09,3.43,27.46,3.31
71,NB,6/11/2015 2:05:44.655,4,626,11,48.36,281.85,282.06,0.61,14.02,17.91,17.79
72,SB2,6/11/2015 2:07:58.045,2,600,5,46.55,264.47,265.23,-0.52,16.91
73,SB2,6/11/2015 2:12:44.113,2,583,2,59.42,285.82,286.07,-1.41,6.51
74,SB2,6/11/2015 2:21:57.587,2,583,2,47.00,553.40,553.47,-0.49,9.23
75,SB2,6/11/2015 2:26:35.651,2,583,2,42.00,277.93,278.06,-0.41,7.88
76,NB,6/11/2015 2:40:30.569,7,622,10,47.40,2085.22,2085.91,0.30,9.34,3.94,3.35,23.43,3.82,3.75
77,NB,6/11/2015 2:57:18.708,2,600,5,24.02,1007.46,1008.14,2.42,18.70
78,NB,6/11/2015 2:58:40.422,2,600,5,29.98,81.19,81.71,1.76,17.36
79,SB2,6/11/2015 3:05:13.313,2,581,1,44.56,2317.53,2317.66,0.00,5.70
80,NB,6/11/2015 3:08:20.393,2,600,5,50.55,579.58,579.97,3.40,15.27
81,NB,6/11/2015 3:08:20.644,2,592,4,50.62,0.05,0.25,0.26,21.77
82,NB,6/11/2015 3:12:03.649,3,605,8,48.22,222.71,223.01,0.79,12.87,31.84
83,NB,6/11/2015 3:13:58.402,2,600,5,31.38,114.13,114.75,-0.22,18.64
84,NB,6/11/2015 3:14:08.867,3,606,8,49.65,10.06,10.46,-1.19,9.83,25.42
85,NB,6/11/2015 3:19:40.051,2,581,1,14.21,330.70,331.18,0.22,5.18
86,SB2,6/11/2015 3:19:40.138,2,600,5,35.39,866.74,866.82,1.99,12.95
87,NB,6/11/2015 3:21:24.923,2,588,3,48.64,104.62,104.87,0.98,10.37
88,NB,6/11/2015 3:21:25.114,2,592,4,50.17,0.04,0.19,-3.76,28.13
89,NB,6/11/2015 3:23:19.976,3,582,1,14.05,114.48,114.86,-0.91,5.24,5.14
90,NB,6/11/2015 3:23:20.180,3,589,3,29.50,0.00,0.20,2.58,11.42,11.70
91,NB,6/11/2015 3:24:25.268,2,600,5,16.92,64.57,65.09,1.40,16.06
92,NB,6/11/2015 3:24:25.539,2,592,4,45.97,0.00,0.27,-0.91,27.59
93,NB,6/11/2015 3:25:51.581,2,592,4,26.81,85.63,86.04,1.32,20.56
94,NB,6/11/2015 3:28:28.471,3,582,1,14.50,156.37,156.89,-1.03,5.26,5.13
