Data File:,'13211515 WB EB 2 2392N.rdf'
Site Code:,'13211515 WB EB 2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
61,WB,5/28/2015 4:52:31.306,2,583,2,61.60,266.78,266.87,-1.27,8.05
62,WB,5/28/2015 4:59:27.565,2,583,2,65.33,416.17,416.26,-10.93,8.73
63,WB,5/28/2015 5:07:14.287,2,583,2,67.57,466.63,466.72,-12.46,8.46
64,EB 2,5/28/2015 5:08:14.933,2,583,2,66.36,1094.15,1094.23,-11.87,8.42
65,EB 2,5/28/2015 5:11:41.923,2,581,1,56.80,206.90,206.99,-8.59,5.51
66,WB,5/28/2015 5:14:05.999,2,583,2,72.23,411.63,411.71,-1.96,8.40
67,WB,5/28/2015 5:15:49.517,2,588,3,65.71,103.44,103.52,0.00,11.53
68,WB,5/28/2015 5:15:51.090,3,605,8,64.95,1.45,1.57,3.22,12.76,13.76
69,WB,5/28/2015 5:21:11.612,2,583,2,61.49,320.24,320.52,-4.78,8.41
70,WB,5/28/2015 5:21:15.076,2,583,2,65.84,3.37,3.46,-4.04,9.19
71,WB,5/28/2015 5:21:20.186,2,588,3,58.59,5.02,5.11,0.00,11.29
72,WB,5/28/2015 5:23:24.602,2,583,2,58.59,124.28,124.42,-11.02,7.78
73,WB,5/28/2015 5:26:16.449,2,588,3,51.64,171.76,171.85,-1.69,10.60
74,WB,5/28/2015 5:26:28.931,4,609,8,60.60,12.34,12.48,-5.36,10.82,15.24,3.86
75,WB,5/28/2015 5:26:50.503,4,610,8,60.93,21.24,21.57,2.21,14.22,13.61,3.96
76,WB,5/28/2015 5:26:52.315,2,583,2,61.83,1.46,1.81,-5.77,8.84
77,WB,5/28/2015 5:27:08.679,2,588,3,63.11,16.27,16.36,-0.00,10.75
78,WB,5/28/2015 5:27:10.976,2,600,5,66.89,2.18,2.30,0.00,13.99
79,WB,5/28/2015 5:31:15.909,2,583,2,58.08,244.79,244.93,-5.18,8.16
80,WB,5/28/2015 5:31:18.925,3,601,6,63.96,2.92,3.02,6.93,11.62,7.12
81,WB,5/28/2015 5:31:33.887,2,583,2,57.58,14.76,14.96,-5.77,8.55
82,WB,5/28/2015 5:34:18.183,2,583,2,66.23,164.20,164.30,-24.10,7.09
83,WB,5/28/2015 5:34:36.181,2,600,5,57.19,17.92,18.00,-14.82,14.90
84,WB,5/28/2015 5:36:47.225,2,600,5,73.65,130.86,131.04,5.56,12.76
85,WB,5/28/2015 5:37:05.854,2,583,2,63.83,18.51,18.63,-7.78,8.63
86,WB,5/28/2015 5:39:59.205,6,618,10,59.95,173.26,173.35,1.23,18.04,4.37,32.00,4.35,4.15
87,WB,5/28/2015 5:40:06.533,2,600,5,61.27,6.62,7.33,-0.78,12.90
88,WB,5/28/2015 5:40:13.178,2,583,2,63.11,6.50,6.65,-7.14,9.09
89,WB,5/28/2015 5:42:24.788,5,615,9,70.11,131.51,131.61,0.61,14.11,24.28,5.43,6.39
90,WB,5/28/2015 5:43:04.026,2,588,3,72.70,38.76,39.24,12.36,11.17
91,WB,5/28/2015 5:44:04.359,2,583,2,58.59,60.23,60.33,-5.16,8.41
92,WB,5/28/2015 5:44:29.971,2,583,2,61.72,25.51,25.61,-6.00,8.46
93,WB,5/28/2015 5:44:33.564,2,583,2,59.63,3.50,3.59,-3.41,8.10
94,WB,5/28/2015 5:47:18.268,2,600,5,63.11,164.61,164.70,-2.54,12.88
95,EB 2,5/28/2015 5:50:40.877,2,583,2,75.48,2338.89,2338.95,-21.69,8.39
96,WB,5/28/2015 5:50:54.683,2,583,2,77.22,216.28,216.42,12.36,8.29
97,WB,5/28/2015 5:51:23.498,2,583,2,59.63,28.74,28.81,-7.36,8.66
98,WB,5/28/2015 5:51:24.642,2,588,3,59.00,1.05,1.14,1.52,11.88
99,EB 2,5/28/2015 5:52:33.635,2,583,2,64.45,112.68,112.76,-9.18,8.75
100,WB,5/28/2015 5:53:18.808,2,583,2,59.84,114.03,114.17,1.02,9.18
101,WB,5/28/2015 5:54:16.612,2,583,2,70.55,57.70,57.80,-13.38,7.87
102,WB,5/28/2015 5:55:02.688,4,610,8,74.97,46.00,46.08,-1.04,14.36,16.03,5.25
103,WB,5/28/2015 5:55:44.794,2,583,2,68.25,41.78,42.11,-8.31,8.25
104,WB,5/28/2015 5:57:11.244,3,584,2,65.71,86.37,86.45,-9.24,7.10,10.93
105,WB,5/28/2015 5:59:29.119,2,583,2,56.71,137.69,137.88,-3.38,9.35
106,WB,5/28/2015 6:00:13.761,2,583,2,62.29,44.53,44.64,-22.64,6.73
107,WB,5/28/2015 6:01:10.310,2,583,2,68.81,56.48,56.55,-20.74,7.32
108,WB,5/28/2015 6:02:08.031,2,600,5,65.84,57.65,57.72,0.97,12.94
