Data File:,'13211515 EB 1 6599.rdf'
Site Code:,'13211515 EB 1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
61,EB 1,5/28/2015 5:38:10.273,2,588,3,62.76,44.25,44.87,5.58,11.83
62,EB 1,5/28/2015 5:38:42.135,2,583,2,62.76,31.73,31.86,0.00,9.03
63,EB 1,5/28/2015 5:40:04.225,2,588,3,64.20,81.99,82.09,0.00,10.69
64,EB 1,5/28/2015 5:45:36.225,2,600,5,68.12,331.89,332.00,0.00,12.51
65,EB 1,5/28/2015 5:45:40.966,2,588,3,65.71,4.62,4.74,0.00,10.02
66,EB 1,5/28/2015 5:46:41.494,3,605,8,71.61,60.42,60.53,0.00,12.89,16.45
67,EB 1,5/28/2015 5:47:14.611,5,613,9,54.76,32.84,33.12,-0.75,12.18,4.41,36.09,4.14
68,EB 1,5/28/2015 5:48:55.406,2,588,3,57.58,100.09,100.80,-0.00,11.75
69,EB 1,5/28/2015 5:50:27.341,2,583,2,54.76,91.80,91.94,0.00,8.94
70,EB 1,5/28/2015 5:50:47.571,2,583,2,65.71,20.12,20.23,0.00,8.68
71,EB 1,5/28/2015 5:51:03.838,2,588,3,69.82,16.18,16.27,-8.20,10.70
72,EB 1,5/28/2015 5:52:39.743,3,605,8,55.85,95.80,95.90,0.00,14.24,21.05
73,EB 1,5/28/2015 5:54:14.729,6,618,10,49.43,94.55,94.99,-0.52,15.72,4.41,29.68,5.15,5.11
74,EB 1,5/28/2015 5:55:19.613,8,636,13,60.71,64.05,64.88,-2.00,18.65,4.28,23.23,4.10,8.53,20.49,4.16
75,EB 1,5/28/2015 5:56:28.879,2,588,3,55.30,68.31,69.27,3.78,11.91
76,EB 1,5/28/2015 5:58:16.197,5,613,9,57.58,107.17,107.32,0.91,19.42,4.41,27.84,4.19
77,EB 1,5/28/2015 6:00:09.375,2,583,2,60.06,112.52,113.18,-6.25,8.95
78,EB 1,5/28/2015 6:00:18.402,7,634,13,62.76,8.92,9.03,-0.73,20.44,4.36,29.60,5.06,8.61,19.53
79,EB 1,5/28/2015 6:01:54.420,2,600,5,63.47,95.07,96.02,-5.01,13.19
80,EB 1,5/28/2015 6:02:38.245,2,588,3,63.47,43.68,43.82,0.00,10.09
81,EB 1,5/28/2015 6:03:06.071,2,588,3,57.58,27.72,27.83,-4.65,10.62
82,EB 1,5/28/2015 6:12:02.337,2,583,2,60.71,536.14,536.27,0.00,9.20
83,EB 1,5/28/2015 6:15:49.378,5,613,9,58.79,226.94,227.04,-0.00,17.31,4.42,35.81,4.11
84,EB 1,5/28/2015 6:15:51.750,3,605,8,68.12,1.66,2.37,2.78,13.24,17.04
85,EB 1,5/28/2015 6:17:44.379,2,583,2,74.47,112.33,112.63,-12.22,8.70
86,EB 1,5/28/2015 6:22:31.934,2,583,2,60.06,287.48,287.56,-0.00,8.77
87,EB 1,5/28/2015 6:22:38.462,2,583,2,68.12,6.43,6.53,-8.79,9.27
88,EB 1,5/28/2015 6:22:58.910,2,588,3,64.20,20.35,20.45,0.00,10.07
89,EB 1,5/28/2015 6:23:23.431,2,583,2,59.42,24.41,24.52,6.12,9.14
90,EB 1,5/28/2015 6:23:49.290,5,613,9,58.79,25.75,25.86,0.00,16.67,4.67,26.40,4.11
91,EB 1,5/28/2015 6:23:56.150,2,600,5,60.71,6.26,6.86,-4.32,13.39
92,EB 1,5/28/2015 6:24:17.828,2,583,2,65.71,21.53,21.68,17.43,8.86
93,EB 1,5/28/2015 6:27:32.179,2,600,5,53.71,194.26,194.35,-2.77,14.50
94,EB 1,5/28/2015 6:27:39.846,5,613,9,60.06,7.48,7.67,1.18,16.77,4.43,23.58,4.44
95,EB 1,5/28/2015 6:29:11.816,3,589,3,55.30,91.41,91.97,-3.07,12.12,16.06
96,EB 1,5/28/2015 6:29:14.432,2,583,2,53.19,2.27,2.62,0.00,9.71
97,EB 1,5/28/2015 6:30:10.394,2,588,3,64.95,55.84,55.96,6.62,11.05
98,EB 1,5/28/2015 6:31:42.052,2,583,2,62.06,91.54,91.66,0.00,8.40
99,EB 1,5/28/2015 6:31:55.974,2,588,3,61.38,13.83,13.92,-4.91,12.16
100,EB 1,5/28/2015 6:32:01.281,2,600,5,60.71,5.17,5.31,-2.96,19.56
101,EB 1,5/28/2015 6:33:25.150,2,583,2,65.71,83.65,83.87,0.00,8.82
102,EB 1,5/28/2015 6:33:26.748,2,583,2,53.71,1.51,1.60,-8.39,9.43
103,EB 1,5/28/2015 6:33:45.110,2,588,3,62.06,18.24,18.36,12.67,10.25
104,EB 1,5/28/2015 6:33:54.624,2,592,4,60.71,9.40,9.51,0.00,21.46
105,EB 1,5/28/2015 6:34:09.582,2,583,2,70.70,14.72,14.96,-0.00,9.57
106,EB 1,5/28/2015 6:35:40.656,2,588,3,60.06,90.98,91.07,-5.12,10.94
107,EB 1,5/28/2015 6:36:02.159,2,588,3,56.42,21.38,21.50,0.00,11.58
108,EB 1,5/28/2015 6:36:31.121,2,588,3,58.79,28.82,28.96,0.00,11.62
109,EB 1,5/28/2015 6:36:33.368,2,588,3,62.76,2.11,2.25,0.00,11.60
110,EB 1,5/28/2015 6:38:51.305,2,583,2,67.29,137.81,137.94,-0.00,9.33
111,EB 1,5/28/2015 6:38:52.535,2,583,2,56.99,1.14,1.23,5.79,8.52
112,EB 1,5/28/2015 6:39:32.361,2,583,2,61.38,39.72,39.83,0.00,8.84
113,EB 1,5/28/2015 6:40:22.831,2,600,5,62.06,50.37,50.47,0.00,17.33
114,EB 1,5/28/2015 6:40:47.787,2,600,5,56.99,24.77,24.96,3.69,13.38
115,EB 1,5/28/2015 6:42:19.090,2,583,2,62.06,91.14,91.30,0.00,8.73
116,EB 1,5/28/2015 6:42:22.036,2,588,3,61.38,2.85,2.95,5.49,11.24
117,EB 1,5/28/2015 6:42:26.767,2,583,2,65.71,4.61,4.73,0.00,8.82
118,EB 1,5/28/2015 6:43:54.404,2,583,2,56.99,87.55,87.64,0.00,8.39
119,EB 1,5/28/2015 6:44:06.879,2,588,3,60.06,12.38,12.48,-5.50,10.17
120,EB 1,5/28/2015 6:45:16.046,5,613,9,60.71,69.05,69.17,-1.06,12.88,4.39,32.65,4.19
121,EB 1,5/28/2015 6:46:40.333,2,583,2,58.18,83.67,84.29,0.00,8.87
122,EB 1,5/28/2015 6:46:59.773,2,600,5,64.95,19.34,19.44,-5.44,13.01
123,EB 1,5/28/2015 6:47:23.790,2,583,2,56.99,23.88,24.02,5.63,8.77
124,EB 1,5/28/2015 6:47:58.012,2,588,3,64.95,34.12,34.22,-11.85,11.73
125,EB 1,5/28/2015 6:48:24.167,2,583,2,58.18,26.03,26.15,5.91,8.89
126,EB 1,5/28/2015 6:48:33.545,2,588,3,64.95,9.27,9.38,-0.00,11.65
127,EB 1,5/28/2015 6:50:18.227,2,583,2,61.38,104.56,104.68,0.00,8.70
128,EB 1,5/28/2015 6:52:05.064,2,600,5,55.85,106.74,106.84,-3.05,14.78
129,EB 1,5/28/2015 6:52:54.852,2,600,5,63.47,49.61,49.79,-10.14,12.81
130,EB 1,5/28/2015 6:53:06.466,2,583,2,60.06,11.47,11.61,5.96,9.70
131,EB 1,5/28/2015 6:53:47.084,2,600,5,68.12,40.51,40.62,-12.10,13.23
132,EB 1,5/28/2015 6:53:51.419,2,583,2,67.29,4.20,4.34,0.00,9.69
133,EB 1,5/28/2015 6:55:15.087,8,636,13,51.72,83.57,83.67,-0.47,11.78,4.33,22.78,4.18,8.93,20.99,4.18
134,EB 1,5/28/2015 6:55:18.816,2,583,2,60.06,2.71,3.73,-0.00,9.94
135,EB 1,5/28/2015 6:55:50.473,2,583,2,62.06,31.54,31.66,-0.00,9.67
136,EB 1,5/28/2015 6:57:39.225,2,583,2,63.47,108.65,108.75,0.00,8.73
137,EB 1,5/28/2015 6:57:47.885,2,583,2,67.29,8.57,8.66,9.30,8.76
138,EB 1,5/28/2015 6:57:49.641,2,583,2,68.96,1.67,1.76,0.00,9.11
139,EB 1,5/28/2015 6:58:02.495,2,588,3,63.47,12.76,12.85,-6.07,10.88
140,EB 1,5/28/2015 7:00:19.675,3,589,3,53.71,137.06,137.18,-1.28,12.12,19.15
141,EB 1,5/28/2015 7:01:20.606,2,600,5,57.58,60.53,60.93,8.07,12.81
142,EB 1,5/28/2015 7:01:22.212,2,600,5,59.42,1.45,1.61,0.00,13.60
