Data File:,'13211524 SB NB 2398N.rdf'
Site Code:,'17A SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
52,NB,6/11/2015 1:13:38.247,2,583,2,62.06,108.73,108.84,-7.31,9.48
53,NB,6/11/2015 1:17:06.734,2,583,2,76.38,208.38,208.49,-11.74,8.57
54,SB,6/11/2015 1:17:48.024,4,610,8,57.21,436.49,437.41,0.00,13.72,36.48,4.02
55,SB,6/11/2015 1:18:03.454,2,583,2,72.66,14.79,15.43,-10.67,9.25
56,NB,6/11/2015 1:18:29.299,2,583,2,55.58,82.49,82.57,-4.49,9.90
57,SB,6/11/2015 1:19:33.740,2,583,2,58.79,90.20,90.29,-5.15,8.94
58,NB,6/11/2015 1:20:49.558,5,613,9,50.09,140.14,140.26,-0.54,17.59,4.26,34.40,4.11
59,NB,6/11/2015 1:21:19.290,2,583,2,64.20,28.91,29.73,-5.52,9.33
60,NB,6/11/2015 1:23:50.308,5,615,9,59.74,150.92,151.02,-0.85,10.56,36.66,5.10,5.11
61,NB,6/11/2015 1:23:52.911,2,583,2,61.97,1.95,2.60,-6.74,9.13
62,SB,6/11/2015 1:27:34.822,2,592,4,62.76,480.98,481.08,1.08,22.76
63,SB,6/11/2015 1:28:21.839,7,622,10,55.99,46.77,47.02,0.27,11.98,6.11,4.58,32.59,4.17,4.04
64,NB,6/11/2015 1:28:45.835,5,613,9,58.03,292.82,292.92,0.36,11.48,4.39,32.56,6.08
65,NB,6/11/2015 1:33:00.219,4,610,8,64.02,253.75,254.38,0.65,12.65,36.51,4.24
66,NB,6/11/2015 1:33:04.140,5,613,9,63.20,3.36,3.92,-1.06,12.60,4.30,31.86,5.40
67,NB,6/11/2015 1:34:52.031,2,583,2,67.40,107.31,107.89,-7.10,9.75
68,NB,6/11/2015 1:35:15.013,2,583,2,71.15,22.88,22.98,-5.32,8.80
69,NB,6/11/2015 1:38:22.369,2,583,2,63.11,187.27,187.36,-0.97,8.51
70,NB,6/11/2015 1:38:56.964,7,633,13,57.96,34.50,34.59,0.39,13.76,21.30,9.45,22.10,9.40,22.33
71,SB,6/11/2015 1:41:00.715,6,617,10,61.04,758.10,758.88,0.00,10.33,4.46,4.24,25.84,3.97
72,SB,6/11/2015 1:44:15.869,5,613,9,61.21,194.61,195.15,0.84,18.66,4.39,18.77,3.80
73,NB,6/11/2015 1:45:52.652,2,583,2,56.85,414.53,415.69,-5.20,9.13
74,NB,6/11/2015 1:46:37.727,2,583,2,63.47,44.97,45.07,-7.51,8.79
75,NB,6/11/2015 1:47:25.098,7,633,13,59.66,47.28,47.37,0.07,13.51,21.74,8.83,22.15,9.44,22.03
76,NB,6/11/2015 1:47:28.294,2,583,2,60.22,2.08,3.20,-5.63,8.78
77,SB,6/11/2015 1:49:52.038,2,588,3,58.72,335.66,336.17,0.55,12.20
78,NB,6/11/2015 1:50:57.384,2,583,2,81.39,208.99,209.09,-11.14,9.38
79,NB,6/11/2015 1:51:18.213,7,622,10,54.56,20.75,20.83,0.17,12.74,5.74,4.29,32.74,4.13,4.20
80,SB,6/11/2015 1:52:25.824,2,588,3,66.39,153.64,153.79,-4.97,11.44
81,SB,6/11/2015 1:56:18.297,6,628,12,61.55,232.36,232.47,0.30,12.22,4.23,28.61,12.43,19.37
82,SB,6/11/2015 1:56:26.498,5,613,9,54.49,7.35,8.20,-0.47,17.06,4.17,31.52,4.06
83,SB,6/11/2015 1:59:57.536,2,583,2,72.89,210.33,211.04,-10.03,8.73
84,NB,6/11/2015 2:00:03.666,2,583,2,66.10,524.66,525.45,-7.02,9.31
85,NB,6/11/2015 2:00:46.988,4,608,8,59.26,43.23,43.32,0.40,11.42,4.22,35.33
86,NB,6/11/2015 2:00:59.180,5,613,9,61.13,11.60,12.19,-1.26,12.95,4.25,20.64,9.01
87,SB,6/11/2015 2:01:15.577,2,592,4,67.70,77.96,78.04,0.48,21.32
88,NB,6/11/2015 2:03:19.435,5,613,9,58.72,139.73,140.25,0.52,20.15,4.44,36.20,4.30
89,SB,6/11/2015 2:05:58.257,5,613,9,63.93,282.47,282.68,0.38,18.59,4.38,18.84,4.06
90,NB,6/11/2015 2:07:45.349,2,592,4,62.15,265.16,265.91,-0.35,22.73
91,NB,6/11/2015 2:12:34.156,2,583,2,76.78,288.56,288.81,-8.46,8.67
92,NB,6/11/2015 2:14:50.538,5,615,9,59.50,136.30,136.38,0.35,12.78,37.91,4.09,4.21
93,NB,6/11/2015 2:14:58.330,5,613,9,53.13,7.12,7.79,-0.09,13.25,4.42,35.04,4.11
94,NB,6/11/2015 2:17:51.505,5,613,9,62.93,172.44,173.17,-0.56,15.93,4.36,33.93,4.13
95,NB,6/11/2015 2:21:38.530,6,618,10,60.71,226.40,227.03,1.24,12.76,4.40,34.24,4.08,4.23
96,NB,6/11/2015 2:21:44.917,2,600,5,58.18,5.71,6.39,0.00,12.34
97,NB,6/11/2015 2:26:21.591,2,588,3,56.28,276.53,276.67,-3.86,10.46
98,NB,6/11/2015 2:39:46.426,7,633,13,55.10,804.71,804.83,0.23,13.10,21.59,9.03,22.98,8.98,21.90
99,SB,6/11/2015 2:40:44.463,7,622,10,62.85,2085.72,2086.21,-0.78,12.23,5.26,4.26,30.41,5.15,4.81
100,NB,6/11/2015 2:54:58.091,2,583,2,63.65,910.45,911.66,-6.58,8.87
101,SB,6/11/2015 2:57:34.359,5,613,9,57.43,1009.22,1009.90,0.23,12.30,4.08,33.56,3.93
102,SB,6/11/2015 2:58:54.584,5,613,9,60.79,79.59,80.22,0.14,12.29,4.12,30.69,3.97
103,NB,6/11/2015 3:00:42.189,7,633,13,58.87,344.00,344.10,0.62,13.32,20.88,9.92,22.80,9.03,22.60
104,NB,6/11/2015 3:01:03.680,5,613,9,62.76,20.35,21.49,-0.91,13.11,4.41,31.16,4.17
105,NB,6/11/2015 3:05:00.183,2,583,2,61.46,235.92,236.50,0.00,7.63
106,SB,6/11/2015 3:08:33.473,4,611,8,66.59,578.31,578.89,-0.18,20.11,4.12,28.73
107,NB,6/11/2015 3:12:12.094,7,633,13,57.73,431.83,431.91,0.00,14.07,23.04,9.59,21.22,9.81,22.33
108,SB,6/11/2015 3:12:17.251,5,613,9,62.93,223.23,223.78,4.00,17.10,4.43,37.31,4.24
109,SB,6/11/2015 3:14:12.249,5,613,9,61.21,114.33,115.00,-0.52,17.32,4.26,32.77,4.02
110,SB,6/11/2015 3:14:22.339,5,613,9,64.48,9.45,10.09,1.06,12.89,4.16,29.37,4.15
