  Data For Station: 43050050M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Time,Lane,Speed,Axles,Length,A Bin,S Bin,L Bin,G Bin,H Bin,1_2,2_3,3_4,4_5,5_6,6_7,7_8,8_9,9_10,10_11,11_12,12_13,13 - 14,14 - 15,15 - 16,L1 Class,Mods,ID64,ID16,Samp,Change,L2 Class,Mods,ID64,ID16,Samp,Change,S.V.M.
,7/12/2014,3:19:05.59,1,57.2,2,9,2,9,2,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:19:12.24,1,57.5,2,10.8,3,6,2,7,7,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:21:18.25,1,47.7,2,10.8,3,7,2,8,8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:24:05.16,1,40.2,2,11.8,3,7,2,8,8,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:25:12.70,1,59.8,2,9,2,9,2,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:26:44.59,1,61.1,2,8.6,2,8,2,2,2,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:29:00.09,1,66,2,11.5,3,7,2,7,7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:29:54.42,1,49.6,2,9.4,2,8,2,8,8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:31:51.78,1,53.8,2,13.9,3,9,2,6,6,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:33:31.94,1,57.8,2,9.4,2,13,2,8,8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:38:13.28,1,59.8,2,8.7,2,9,2,6,6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:38:20.76,1,55.5,2,10.7,3,9,2,2,2,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:39:25.98,1,56,2,8.7,2,9,2,2,2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:42:03.39,1,49.8,2,12.1,3,8,2,2,2,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:46:57.82,1,57.5,2,9.4,2,7,2,8,8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:50:04.56,1,57.8,2,8.8,2,7,2,8,8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:51:04.36,1,59.4,2,11,3,5,2,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:51:19.00,1,60.1,2,9.2,2,7,2,8,8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:52:36.61,1,57.2,2,8.6,2,7,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:52:41.48,1,61.8,2,9.3,2,8,2,7,7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:52:46.22,1,66.4,2,9.3,2,10,2,8,8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:56:03.43,1,57.5,2,9,2,7,2,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:56:18.81,1,66,2,8.9,2,7,2,8,8,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:58:05.36,1,54.9,3,25.7,3,7,3,8,8,11.4,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,3:58:19.37,1,54.6,2,10.9,3,7,2,1,1,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:04:41.68,1,59.2,2,12.5,3,6,2,8,8,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:06:28.04,1,54.9,2,8.7,2,8,2,8,8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:07:17.52,1,58.5,2,8.7,2,8,2,8,8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:09:02.93,1,61.1,2,9.2,2,8,2,8,8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:10:12.28,1,50.1,3,25.6,3,7,3,8,8,11.4,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:10:25.76,1,52,5,59,9,8,5,6,6,18.3,4.3,32.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:11:10.83,1,61.9,5,59.5,9,8,5,7,7,16.9,4.2,34.3,4,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:11:24.57,1,57.5,2,9.1,2,9,2,8,8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:16:24.08,1,58.8,2,9.1,2,9,2,8,8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:18:52.21,1,56.6,5,58.6,9,8,5,8,8,17.9,4.3,32.4,4,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:18:54.69,1,55.8,2,9.2,2,8,2,8,8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:21:14.32,1,59.8,2,9.2,2,8,2,8,8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:21:18.83,1,56.6,5,57.3,9,7,5,8,8,17.9,4.4,30.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:23:29.43,1,56,2,14.1,3,9,2,7,7,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:24:45.16,1,52.5,2,11,3,6,2,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:25:11.68,1,57.8,2,12,3,8,2,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:26:40.34,1,54.6,2,8.4,2,8,2,8,8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:27:32.05,1,60.8,2,7.8,2,8,2,8,8,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:27:34.56,1,58.2,2,9.6,2,9,2,1,1,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:30:19.60,1,61.8,2,13,3,9,2,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,4:32:18.23,1,56.4,2,10.8,3,8,2,1,1,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
