Data File:,'13211514 WB EB 2 2393N.rdf'
Site Code:,'13211514 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11C'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
61,WB,5/28/2015 4:52:37.597,2,583,2,61.27,267.44,267.54,-6.06,8.19
62,WB,5/28/2015 4:59:33.826,2,583,2,45.35,416.14,416.23,-5.30,9.02
63,WB,5/28/2015 5:01:47.885,2,583,2,61.72,133.92,134.06,0.00,8.83
64,WB,5/28/2015 5:07:19.589,2,583,2,69.67,331.61,331.70,-16.40,8.75
65,EB2,5/28/2015 5:08:04.077,2,583,2,70.55,1094.51,1094.60,-12.07,8.72
66,WB,5/28/2015 5:09:47.585,2,583,2,59.53,147.91,148.00,-8.26,8.75
67,EB2,5/28/2015 5:11:29.424,2,581,1,57.68,205.26,205.35,0.00,5.57
68,WB,5/28/2015 5:14:10.861,2,583,2,71.92,263.18,263.28,-20.17,8.57
69,WB,5/28/2015 5:15:55.110,2,588,3,66.23,104.17,104.25,2.19,11.69
70,WB,5/28/2015 5:15:56.693,3,605,8,67.03,1.46,1.58,-2.38,13.13,14.03
71,WB,5/28/2015 5:19:31.035,2,583,2,57.58,214.06,214.34,3.80,8.89
72,WB,5/28/2015 5:21:20.542,2,583,2,67.29,109.40,109.51,-9.70,9.42
73,WB,5/28/2015 5:21:26.838,2,588,3,59.84,6.20,6.30,5.78,11.57
74,WB,5/28/2015 5:23:19.798,2,583,2,69.10,112.83,112.96,-12.96,9.75
75,WB,5/28/2015 5:23:31.216,2,583,2,57.58,11.32,11.42,-12.14,8.01
76,WB,5/28/2015 5:23:52.119,2,588,3,62.18,20.81,20.90,-0.95,11.07
77,WB,5/28/2015 5:26:24.649,2,588,3,48.43,152.41,152.53,-1.37,10.82
78,WB,5/28/2015 5:26:35.297,2,588,3,59.74,10.50,10.65,2.57,10.98
79,WB,5/28/2015 5:26:35.601,2,581,1,60.60,0.18,0.30,-4.83,6.00
80,WB,5/28/2015 5:26:56.789,4,610,8,61.72,21.12,21.19,-3.96,14.65,14.09,3.99
81,WB,5/28/2015 5:26:58.469,2,583,2,60.49,1.32,1.68,1.08,9.04
82,WB,5/28/2015 5:27:14.703,2,588,3,62.76,16.13,16.23,1.00,10.89
83,WB,5/28/2015 5:27:16.574,2,600,5,63.71,1.75,1.87,-5.40,14.40
84,WB,5/28/2015 5:31:22.634,2,583,2,57.68,245.91,246.06,-9.82,8.33
85,WB,5/28/2015 5:31:25.017,2,583,2,59.74,2.28,2.38,32.31,7.07
86,WB,5/28/2015 5:31:40.814,2,583,2,56.14,15.72,15.80,-6.07,8.78
87,WB,5/28/2015 5:34:23.650,2,583,2,66.89,162.73,162.84,-10.58,9.67
88,WB,5/28/2015 5:34:41.706,2,581,1,59.21,17.96,18.06,-9.73,4.61
89,WB,5/28/2015 5:36:51.964,2,600,5,72.23,130.21,130.26,0.00,13.05
90,WB,5/28/2015 5:37:11.805,2,583,2,62.06,19.72,19.84,-9.23,8.87
91,WB,5/28/2015 5:40:05.416,5,613,9,61.49,173.51,173.61,4.53,18.32,4.54,32.94,4.32
92,WB,5/28/2015 5:40:12.823,2,600,5,59.63,6.75,7.41,-1.39,13.28
93,WB,5/28/2015 5:40:19.183,2,583,2,60.93,6.21,6.36,-7.27,9.35
94,WB,5/28/2015 5:42:29.934,4,610,8,68.67,130.65,130.75,-0.96,14.31,24.30,5.37
95,WB,5/28/2015 5:43:08.860,2,588,3,71.61,38.49,38.93,0.00,11.41
96,WB,5/28/2015 5:44:11.019,2,583,2,57.78,62.05,62.16,-8.58,8.65
97,WB,5/28/2015 5:44:39.826,2,583,2,66.63,28.70,28.81,-13.68,8.29
98,WB,5/28/2015 5:47:24.298,2,600,5,62.41,164.39,164.47,0.00,13.30
99,EB2,5/28/2015 5:50:30.677,2,583,2,74.31,2341.19,2341.25,-12.28,8.60
100,WB,5/28/2015 5:51:29.952,2,583,2,58.49,245.51,245.65,-4.85,8.92
101,WB,5/28/2015 5:51:31.026,2,600,5,61.60,0.97,1.07,-3.29,12.31
102,EB2,5/28/2015 5:52:22.446,2,583,2,67.16,111.69,111.77,-10.22,8.89
103,WB,5/28/2015 5:53:25.114,2,583,2,61.60,113.95,114.09,-9.52,9.44
104,WB,5/28/2015 5:54:21.741,2,583,2,68.96,56.52,56.63,-17.41,7.99
105,WB,5/28/2015 5:55:07.184,3,605,8,77.04,45.36,45.44,-8.16,14.67,15.93
106,WB,5/28/2015 5:55:50.111,2,583,2,68.39,42.65,42.93,-11.45,8.38
107,WB,5/28/2015 5:56:32.316,2,583,2,66.63,42.12,42.21,-8.21,9.30
108,WB,5/28/2015 5:57:16.816,2,588,3,65.84,44.40,44.50,1.10,11.36
109,WB,5/28/2015 5:59:36.097,2,583,2,55.58,139.16,139.28,-4.64,9.56
110,WB,5/28/2015 6:00:19.892,2,583,2,61.04,43.68,43.80,-12.27,7.13
111,WB,5/28/2015 6:01:15.521,2,588,3,67.84,55.55,55.63,3.47,11.91
112,WB,5/28/2015 6:02:13.643,2,600,5,65.20,58.00,58.12,-6.33,13.15
113,WB,5/28/2015 6:03:34.376,2,583,2,63.47,80.59,80.73,-8.54,8.99
114,WB,5/28/2015 6:03:55.225,5,613,9,61.60,20.75,20.85,5.40,12.51,4.50,33.19,4.36
115,WB,5/28/2015 6:05:12.143,2,583,2,57.78,76.32,76.92,-3.01,8.34
116,WB,5/28/2015 6:06:10.784,2,583,2,77.76,58.54,58.64,-11.64,8.69
117,WB,5/28/2015 6:07:27.188,2,583,2,57.29,76.33,76.40,-10.17,8.65
118,WB,5/28/2015 6:09:28.222,2,583,2,66.49,120.93,121.03,-8.47,8.96
119,WB,5/28/2015 6:10:51.921,2,583,2,69.53,83.61,83.70,-11.25,8.95
120,WB,5/28/2015 6:11:24.081,2,583,2,74.97,32.07,32.16,-18.49,8.71
121,WB,5/28/2015 6:13:48.135,2,588,3,59.00,143.97,144.05,0.00,11.87
122,WB,5/28/2015 6:14:02.893,2,583,2,60.17,14.62,14.76,-10.23,8.19
123,WB,5/28/2015 6:14:56.242,2,583,2,57.29,53.26,53.35,-4.64,8.76
124,WB,5/28/2015 6:17:10.864,2,600,5,59.21,134.52,134.62,2.70,13.63
125,WB,5/28/2015 6:17:46.359,3,589,3,61.95,35.34,35.49,1.28,11.27,13.17
126,WB,5/28/2015 6:17:56.296,2,588,3,73.82,9.67,9.94,1.49,11.85
127,WB,5/28/2015 6:18:07.199,5,615,9,67.98,10.79,10.90,0.62,13.52,22.09,4.22,4.50
128,WB,5/28/2015 6:18:34.482,2,600,5,57.09,26.84,27.28,0.00,14.74
129,WB,5/28/2015 6:18:38.321,2,583,2,56.80,3.66,3.84,-2.63,9.07
130,WB,5/28/2015 6:18:57.627,2,588,3,84.84,19.20,19.31,-11.88,11.04
131,WB,5/28/2015 6:22:38.203,2,583,2,64.70,220.49,220.58,-13.22,8.71
132,WB,5/28/2015 6:23:25.973,2,583,2,63.83,47.68,47.77,-1.22,9.32
133,WB,5/28/2015 6:23:32.653,2,588,3,63.71,6.58,6.68,2.92,11.72
134,EB2,5/28/2015 6:23:33.386,2,583,2,62.99,1870.85,1870.94,-6.93,9.32
135,WB,5/28/2015 6:23:41.083,2,583,2,68.25,8.30,8.43,-8.86,9.26
136,WB,5/28/2015 6:24:15.607,2,583,2,62.76,34.43,34.52,-0.00,8.64
137,WB,5/28/2015 6:25:07.145,2,583,2,71.15,51.44,51.54,-15.19,9.08
138,WB,5/28/2015 6:26:16.162,2,583,2,68.39,68.93,69.02,-9.21,8.96
139,WB,5/28/2015 6:26:17.371,2,583,2,66.76,1.12,1.21,-8.70,8.82
140,WB,5/28/2015 6:26:53.196,2,588,3,66.10,35.73,35.82,1.15,11.00
141,WB,5/28/2015 6:27:13.612,2,600,5,67.57,20.30,20.42,2.03,13.39
142,WB,5/28/2015 6:27:46.051,2,583,2,65.71,32.30,32.44,-10.83,8.97
143,WB,5/28/2015 6:28:24.618,3,601,6,61.72,38.47,38.57,-0.51,15.44,4.86
144,WB,5/28/2015 6:28:35.670,2,583,2,60.49,10.83,11.05,-8.06,8.26
145,WB,5/28/2015 6:28:40.409,2,583,2,64.20,4.65,4.74,-16.69,8.05
146,WB,5/28/2015 6:30:45.167,2,588,3,61.38,124.67,124.76,2.75,11.12
147,WB,5/28/2015 6:30:51.334,2,583,2,56.42,6.04,6.17,-6.16,8.77
148,WB,5/28/2015 6:31:01.862,2,583,2,59.74,10.42,10.53,-11.69,7.77
149,WB,5/28/2015 6:31:03.911,2,588,3,61.04,1.96,2.05,3.46,11.63
150,WB,5/28/2015 6:31:05.214,2,583,2,64.45,1.17,1.30,-7.17,9.64
151,WB,5/28/2015 6:31:07.159,2,588,3,60.49,1.84,1.94,-5.74,11.60
152,EB2,5/28/2015 6:31:24.670,2,583,2,71.92,471.18,471.28,-22.76,8.92
153,WB,5/28/2015 6:32:38.986,2,588,3,62.99,91.70,91.83,2.90,11.39
154,WB,5/28/2015 6:32:40.508,2,588,3,64.20,1.40,1.52,-9.08,9.97
155,WB,5/28/2015 6:32:57.238,2,583,2,67.98,16.62,16.73,-10.42,9.05
156,EB2,5/28/2015 6:33:07.972,2,583,2,65.33,103.22,103.30,-9.60,8.72
157,EB2,5/28/2015 6:33:09.298,2,588,3,65.33,1.23,1.33,-10.70,10.00
158,WB,5/28/2015 6:33:41.121,2,600,5,59.21,43.79,43.88,-2.91,12.35
159,WB,5/28/2015 6:34:23.206,2,588,3,67.57,41.94,42.08,1.24,10.92
160,WB,5/28/2015 6:34:54.949,8,636,13,65.20,31.63,31.74,1.64,19.88,4.70,14.36,4.55,32.94,5.28,17.39
161,WB,5/28/2015 6:35:10.902,2,583,2,61.95,14.92,15.95,-5.85,7.04
162,WB,5/28/2015 6:35:16.344,2,592,4,22.77,5.37,5.44,0.67,34.69
163,EB2,5/28/2015 6:35:45.021,2,600,5,65.07,155.62,155.72,0.82,14.71
164,WB,5/28/2015 6:36:42.765,2,583,2,63.59,85.39,86.42,0.00,8.86
165,WB,5/28/2015 6:37:06.958,2,583,2,62.41,24.10,24.19,-15.76,7.83
166,WB,5/28/2015 6:37:08.337,2,588,3,64.57,1.29,1.38,-1.09,10.76
167,WB,5/28/2015 6:37:10.855,2,588,3,65.07,2.40,2.52,4.19,11.65
168,WB,5/28/2015 6:37:21.355,2,588,3,72.07,10.38,10.50,-1.46,11.18
169,WB,5/28/2015 6:37:26.094,2,588,3,71.76,4.63,4.74,0.00,11.61
170,EB2,5/28/2015 6:38:34.676,2,583,2,70.85,169.50,169.65,-13.35,9.09
171,WB,5/28/2015 6:38:59.590,2,583,2,64.45,93.39,93.50,-13.54,9.22
172,WB,5/28/2015 6:39:43.049,2,600,5,65.20,43.36,43.46,1.83,13.32
173,WB,5/28/2015 6:39:44.469,2,583,2,65.33,1.28,1.42,-10.70,8.91
174,EB2,5/28/2015 6:40:29.908,2,600,5,62.18,115.14,115.23,1.55,13.64
175,WB,5/28/2015 6:41:27.912,3,605,8,61.27,103.35,103.44,-3.09,14.35,14.33
176,WB,5/28/2015 6:41:45.999,2,588,3,61.38,17.77,18.09,-1.65,12.20
177,WB,5/28/2015 6:41:48.750,2,588,3,56.04,2.62,2.75,5.59,11.24
178,WB,5/28/2015 6:42:46.472,2,583,2,31.80,57.59,57.72,1.48,9.66
179,WB,5/28/2015 6:42:50.280,2,588,3,37.44,3.60,3.81,1.11,10.42
180,WB,5/28/2015 6:43:00.800,2,583,2,61.27,10.33,10.52,-2.28,8.79
