Data For Site: 01200000
       Info 1: 002240
       Info 2: 352.820   83043
Storage Mode : Raw
Start Time   : 06/15/15 at 00:00
Stop Time    : 06/16/15 at 00:00
Data collected by a Phoenix (ver 2.39)

1:  Info: ASCENDING 50                   Mode: Enhanced         Sensors: Pres-Pres       Sensor Spacing:  16.0'  Loop Length:   6.0'  Extra Info:
2:  Info: DESCENDING50                   Mode: Enhanced         Sensors: Pres-Pres       Sensor Spacing:  16.0'  Loop Length:   6.0'  Extra Info:
2:  05:20:36.34   65.4mph, Length= 69.4',
1:  05:20:56.26   65.4mph, Length= 13.7',
1:  05:20:57.90   68.2mph, Length= 11.9',
1:  05:21:34.03   60.9mph, Length= 13.9',
2:  05:21:39.00   65.4mph, Length= 12.2',
1:  05:22:03.76   75.9mph, Length= 12.9',
1:  05:22:05.33   61.9mph, Length= 12.5',
1:  05:22:11.67   72.7mph, Length= 13.0',
1:  05:22:24.22   66.8mph, Length= 12.7',
1:  05:22:34.59   71.0mph, Length= 16.0',
1:  05:22:36.46   72.6mph, Length= 13.7',
1:  05:24:00.18   68.0mph, Length= 14.8',
2:  05:24:16.73   71.2mph, Length= 13.4',
1:  05:24:19.52   68.2mph, Length= 17.3',
1:  05:24:58.34   65.6mph, Length= 14.2',
1:  05:25:09.41   65.5mph, Length= 16.4',
1:  05:25:10.89   70.9mph, Length=  9.7',
1:  05:26:23.79   66.7mph, Length= 11.8',
1:  05:27:01.22   72.6mph, Length= 14.9',
2:  05:27:19.51   71.0mph, Length= 16.1',
1:  05:27:48.01   75.9mph, Length= 13.6',
1:  05:28:20.61   72.6mph, Length= 15.2',
2:  05:28:47.61   71.0mph, Length= 16.1',
2:  05:29:26.02   68.1mph, Length= 14.6',
1:  05:29:44.70   64.2mph, Length= 17.3',
1:  05:29:55.83   68.2mph, Length= 13.2',
1:  05:30:14.80   69.5mph, Length= 17.2',
1:  05:30:27.99   69.6mph, Length= 14.5',
1:  05:30:35.96   85.6mph, Length= 11.1',
1:  05:30:51.68   69.6mph, Length= 17.2',
2:  05:30:59.91   75.7mph, Length= 10.4',
1:  05:31:45.62   65.4mph, Length= 15.3',
2:  05:32:26.58   63.1mph, Length= 13.0',
1:  05:32:26.89   71.1mph, Length= 18.5',
1:  05:32:38.79   68.2mph, Length= 14.7',
1:  05:33:52.71   70.9mph, Length= 14.7',
1:  05:34:08.41   65.4mph, Length= 14.9',
1:  05:34:57.54   71.0mph, Length= 15.3',
2:  05:34:58.18  SnMis #2      Info:
1:  05:35:00.27   72.6mph, Length= 12.4',
1:  05:35:06.47   74.3mph, Length= 12.7',
1:  05:35:52.07   68.2mph, Length= 13.4',
2:  05:36:09.98   65.6mph, Length= 12.4',
2:  05:36:32.68   65.6mph, Length= 14.5',
2:  05:37:28.28   65.4mph, Length= 69.2',
1:  05:37:50.78   69.6mph, Length= 12.6',
1:  05:37:53.82   71.0mph, Length= 13.7',
2:  05:38:12.60   62.9mph, Length= 22.6',
1:  05:39:57.56   61.8mph, Length= 15.3',
1:  05:40:03.32   71.0mph, Length= 16.4',
1:  05:40:30.92   69.6mph, Length= 12.3',
