Data File:,'13211513 EB 1 2363.rdf'
Site Code:,'13211513 EB1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11B'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
62,EB1,5/28/2015 5:32:59.610,2,583,2,67.29,50.21,50.30,0.00,8.82
63,EB1,5/28/2015 5:33:18.346,2,583,2,53.71,18.65,18.74,4.79,8.61
64,EB1,5/28/2015 5:35:04.664,2,583,2,60.71,106.21,106.32,-5.88,9.83
65,EB1,5/28/2015 5:37:05.181,5,613,9,67.29,120.41,120.52,1.50,18.58,4.42,26.80,4.39
66,EB1,5/28/2015 5:37:49.673,2,588,3,62.76,43.94,44.49,5.65,11.70
67,EB1,5/28/2015 5:38:21.632,2,583,2,64.20,31.83,31.96,7.87,8.98
68,EB1,5/28/2015 5:39:43.778,2,588,3,64.20,82.05,82.15,-6.49,10.53
69,EB1,5/28/2015 5:45:16.920,2,600,5,71.61,333.03,333.14,0.00,12.62
70,EB1,5/28/2015 5:45:20.384,2,588,3,64.20,3.34,3.46,7.10,9.95
71,EB1,5/28/2015 5:46:22.168,3,605,8,67.29,61.68,61.78,0.00,12.80,16.27
72,EB1,5/28/2015 5:46:52.560,3,601,6,58.79,30.10,30.39,3.30,12.13,4.40
73,EB1,5/28/2015 5:48:33.876,2,588,3,63.47,101.13,101.32,-11.13,11.66
74,EB1,5/28/2015 5:50:04.150,2,583,2,51.24,90.15,90.27,8.17,8.89
75,EB1,5/28/2015 5:50:26.888,2,583,2,63.47,22.62,22.74,0.00,8.59
76,EB1,5/28/2015 5:50:44.825,2,588,3,71.61,17.84,17.94,19.35,10.36
77,EB1,5/28/2015 5:52:16.852,3,605,8,56.42,91.93,92.03,-3.86,14.26,20.79
78,EB1,5/28/2015 5:53:49.689,6,618,10,46.16,92.41,92.84,-0.43,15.63,4.28,29.76,5.20,5.02
79,EB1,5/28/2015 5:54:58.691,5,613,9,62.06,68.12,69.00,-2.11,18.60,4.32,26.36,8.13
80,EB1,5/28/2015 5:54:59.555,2,581,1,62.76,0.23,0.86,0.00,4.25
81,EB1,5/28/2015 5:56:06.754,2,588,3,58.18,67.15,67.20,0.00,12.00
82,EB1,5/28/2015 5:57:54.366,3,593,4,60.06,107.47,107.61,-2.33,19.60,4.40
83,EB1,5/28/2015 5:59:48.498,2,583,2,65.71,113.86,114.13,8.51,8.91
