Data File:,'13211513 WB EB 2 2401N.rdf'
Site Code:,'13211513 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11B'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
61,WB,5/28/2015 4:40:32.707,2,600,5,60.49,461.42,461.55,0.73,13.38
62,WB,5/28/2015 4:41:05.482,2,600,5,63.83,32.62,32.78,1.77,12.93
63,WB,5/28/2015 4:47:30.558,2,588,3,56.14,384.94,385.08,0.00,10.91
64,WB,5/28/2015 4:48:09.289,2,583,2,71.15,38.60,38.73,4.81,9.94
65,WB,5/28/2015 4:48:16.557,2,583,2,62.29,7.17,7.27,-9.02,9.18
66,EB2,5/28/2015 4:49:45.842,2,583,2,65.20,3144.18,3144.27,-10.11,8.23
67,WB,5/28/2015 4:52:44.390,2,583,2,61.60,267.73,267.83,-2.52,8.08
68,WB,5/28/2015 4:59:42.589,2,583,2,46.87,418.11,418.20,-4.50,8.85
69,WB,5/28/2015 5:01:54.710,2,583,2,59.95,131.99,132.12,-10.44,8.80
70,WB,5/28/2015 5:07:25.761,2,583,2,68.12,330.95,331.05,-9.46,8.62
71,EB2,5/28/2015 5:08:00.633,2,583,2,65.97,1094.70,1094.79,-10.10,8.53
72,WB,5/28/2015 5:09:54.574,2,583,2,58.28,148.73,148.81,-7.84,8.66
73,EB2,5/28/2015 5:11:25.034,2,581,1,57.19,204.31,204.40,0.00,5.52
74,WB,5/28/2015 5:14:17.010,2,583,2,66.63,262.34,262.44,-13.39,8.47
75,WB,5/28/2015 5:16:01.481,2,588,3,66.63,104.38,104.47,0.00,11.68
76,WB,5/28/2015 5:16:03.046,3,605,8,65.33,1.45,1.56,2.30,12.92,13.91
77,WB,5/28/2015 5:19:38.183,2,583,2,56.90,214.86,215.14,-6.33,8.76
78,WB,5/28/2015 5:21:24.856,2,583,2,60.17,106.57,106.67,-8.81,8.47
79,WB,5/28/2015 5:21:26.951,2,583,2,64.08,2.00,2.09,-10.81,9.34
80,WB,5/28/2015 5:21:33.760,2,588,3,58.18,6.71,6.81,-2.99,11.43
81,WB,5/28/2015 5:23:26.096,2,583,2,65.33,112.20,112.34,-8.59,9.74
82,WB,5/28/2015 5:23:38.407,2,583,2,55.48,12.21,12.31,-9.23,7.90
83,WB,5/28/2015 5:23:59.199,2,588,3,55.21,20.70,20.79,-2.00,10.96
