Data File:,'13211512 WB EB 2388N.rdf'
Site Code:,'13211512'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11A'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
61,WB,5/28/2015 3:47:37.638,2,588,3,61.04,262.94,263.93,0.00,12.05
62,EB,5/28/2015 3:48:35.315,2,583,2,56.90,191.00,191.15,-7.29,8.67
63,EB,5/28/2015 3:48:46.957,2,583,2,65.20,11.54,11.64,-8.26,8.66
64,EB,5/28/2015 3:53:09.505,6,628,12,64.45,262.46,262.55,3.20,14.91,7.18,25.30,15.17,13.83
65,EB,5/28/2015 3:57:13.576,2,583,2,78.67,243.26,244.07,-18.87,9.85
66,WB,5/28/2015 4:06:04.132,2,583,2,67.84,1106.36,1106.49,-17.63,8.25
67,EB,5/28/2015 4:10:00.634,2,583,2,68.53,766.97,767.06,-10.91,8.85
68,WB,5/28/2015 4:21:35.297,6,617,10,67.84,931.08,931.17,-0.23,11.84,7.16,4.53,27.29,8.09
69,WB,5/28/2015 4:22:30.513,2,583,2,58.49,54.62,55.22,-9.10,8.46
70,WB,5/28/2015 4:23:34.498,5,627,11,59.63,63.89,63.98,1.97,13.10,22.24,9.41,23.45
71,EB,5/28/2015 4:25:04.755,3,593,4,47.94,904.03,904.12,-1.68,20.96,4.57
72,WB,5/28/2015 4:25:42.200,2,600,5,62.41,126.93,127.70,-0.81,13.16
73,EB,5/28/2015 4:26:33.503,2,588,3,56.61,88.38,88.75,0.00,10.32
74,EB,5/28/2015 4:26:53.932,2,600,5,61.15,20.31,20.43,0.00,14.35
75,WB,5/28/2015 4:28:08.601,5,614,9,65.58,146.26,146.40,5.54,21.01,4.52,5.95,25.71
76,WB,5/28/2015 4:29:10.390,2,588,3,68.81,61.20,61.79,-11.04,10.08
77,WB,5/28/2015 4:29:24.438,2,588,3,53.36,13.95,14.05,-1.77,11.18
78,WB,5/28/2015 4:30:29.325,2,600,5,65.97,64.74,64.89,1.87,13.53
79,WB,5/28/2015 4:30:48.857,2,600,5,61.72,19.39,19.53,0.00,13.33
80,WB,5/28/2015 4:31:57.396,2,588,3,64.45,68.39,68.54,-2.87,12.16
81,WB,5/28/2015 4:31:58.681,2,583,2,67.29,1.16,1.28,-11.81,9.89
82,WB,5/28/2015 4:33:02.040,2,583,2,52.69,63.26,63.36,0.66,9.69
83,EB,5/28/2015 4:33:04.860,2,583,2,62.99,370.77,370.93,-6.01,8.97
84,EB,5/28/2015 4:33:10.857,2,583,2,65.71,5.90,6.00,-10.60,9.15
85,EB,5/28/2015 4:35:29.069,2,583,2,63.11,138.12,138.21,-7.12,9.11
86,EB,5/28/2015 4:36:28.210,2,583,2,76.17,59.04,59.14,-16.88,8.92
87,EB,5/28/2015 4:39:18.634,2,600,5,67.84,170.34,170.42,0.00,12.92
88,WB,5/28/2015 4:40:41.862,2,600,5,60.71,459.70,459.82,-1.44,13.52
89,WB,5/28/2015 4:41:14.215,2,600,5,62.76,32.20,32.35,-4.05,13.17
90,EB,5/28/2015 4:41:24.085,2,583,2,53.36,125.32,125.45,-7.30,8.03
