Data File:,'13211528 SB 2388N.rdf'
Site Code:,'17E SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
54,SB1,6/11/2015 1:39:34.091,3,605,8,63.23,36.04,36.14,0.31,14.14,21.65
55,SB1,6/11/2015 1:39:34.580,3,607,8,59.21,0.10,0.49,5.93,31.04,22.91
56,SB1,6/11/2015 1:46:35.048,2,583,2,47.94,419.87,420.47,-3.04,9.38
57,SB2,6/11/2015 1:47:12.479,2,583,2,65.58,686.97,687.05,-10.50,9.19
58,SB2,6/11/2015 1:47:59.704,2,583,2,89.13,47.13,47.23,-23.43,9.00
59,SB2,6/11/2015 1:48:02.364,2,583,2,12.28,2.59,2.66,4.97,7.31
60,SB2,6/11/2015 1:48:02.867,2,581,1,13.91,0.10,0.50,0.05,5.16
61,SB2,6/11/2015 1:51:25.194,2,583,2,78.85,202.07,202.33,-17.08,9.78
62,SB1,6/11/2015 1:51:59.101,6,617,10,55.95,323.92,324.05,2.19,12.95,5.97,4.36,33.85,8.46
63,SB2,6/11/2015 2:00:37.441,2,583,2,69.53,552.16,552.25,-17.34,9.81
64,SB1,6/11/2015 2:01:24.691,5,613,9,60.49,564.80,565.59,0.17,11.79,4.08,37.08,3.83
65,SB1,6/11/2015 2:01:35.447,6,620,10,64.20,10.12,10.76,-4.04,13.20,4.24,21.13,8.85,4.44
66,SB2,6/11/2015 2:03:57.330,5,613,9,61.04,199.79,199.89,0.60,20.92,4.62,37.79,4.52
67,SB1,6/11/2015 2:08:21.304,3,593,4,63.59,405.30,405.86,0.41,23.24,4.40
68,SB2,6/11/2015 2:13:03.361,2,583,2,74.64,545.28,546.03,-15.93,8.90
69,SB1,6/11/2015 2:15:27.663,6,618,10,61.38,426.07,426.36,-0.84,13.05,4.09,34.42,4.05,4.35
70,SB1,6/11/2015 2:15:39.259,6,618,10,55.76,10.93,11.60,-1.33,13.58,8.18,31.68,3.70,4.17
71,SB1,6/11/2015 2:18:26.090,6,618,10,65.84,166.08,166.83,-2.33,16.14,4.24,34.72,4.25,4.37
72,SB1,6/11/2015 2:22:15.379,8,636,13,61.83,228.64,229.29,-3.36,12.97,4.16,4.29,30.34,3.84,4.37,4.31
73,SB1,6/11/2015 2:22:20.749,2,600,5,62.06,4.65,5.37,-0.83,12.63
74,SB2,6/11/2015 2:27:01.369,2,588,3,58.28,837.93,838.01,-1.58,10.90
75,SB1,6/11/2015 2:40:24.462,5,627,11,61.27,1083.57,1083.71,0.15,13.40,22.17,9.05,23.70
76,SB1,6/11/2015 2:40:25.323,2,592,4,58.18,0.10,0.86,12.72,22.04
77,SB1,6/11/2015 2:55:33.052,2,583,2,65.71,907.48,907.73,-4.05,9.11
78,SB1,6/11/2015 3:01:19.570,7,633,13,60.82,346.42,346.52,0.30,13.46,21.23,10.26,23.37,9.11,23.34
79,SB1,6/11/2015 3:01:39.446,4,610,8,63.96,18.75,19.88,2.83,13.43,36.87,4.09
80,SB2,6/11/2015 3:05:37.445,2,583,2,59.95,2315.95,2316.08,-11.82,7.77
81,SB1,6/11/2015 3:12:49.082,3,605,8,61.72,669.06,669.64,-0.54,14.29,23.41
82,SB1,6/11/2015 3:12:49.606,3,594,4,58.49,0.11,0.52,9.79,21.28,10.04
83,SB1,6/11/2015 3:15:43.807,7,633,13,65.20,173.85,174.20,-0.35,14.19,22.85,9.31,22.12,9.42,22.97
84,SB1,6/11/2015 3:17:44.724,2,592,4,66.23,119.85,120.92,5.08,20.51
85,SB1,6/11/2015 3:25:55.559,3,593,4,65.45,490.63,490.84,11.95,20.62,4.40
86,SB1,6/11/2015 3:32:16.904,3,601,6,53.11,381.09,381.34,1.22,11.77,4.53
87,SB1,6/11/2015 3:37:07.305,3,605,8,35.77,290.19,290.40,1.65,11.40,22.64
88,SB1,6/11/2015 3:37:07.569,2,592,4,34.44,0.00,0.26,-0.08,21.39
89,SB2,6/11/2015 3:38:59.571,8,636,13,59.95,2002.04,2002.13,0.25,11.12,10.15,4.64,22.94,4.32,19.06,4.49
90,SB1,6/11/2015 3:45:03.314,4,609,8,63.96,475.32,475.75,0.46,11.18,9.21,4.43
91,SB1,6/11/2015 3:45:03.906,2,581,1,64.70,0.33,0.59,4.38,5.44
92,SB1,6/11/2015 3:45:04.018,2,581,1,65.33,0.06,0.11,-24.86,5.69
93,SB1,6/11/2015 3:58:37.530,5,613,9,56.32,813.45,813.51,-2.57,11.78,3.97,34.76,3.64
94,SB1,6/11/2015 4:03:15.533,2,600,5,64.08,277.36,278.00,3.90,18.00
95,SB1,6/11/2015 4:03:15.768,3,593,4,61.27,0.04,0.23,6.23,32.04,4.19
96,SB2,6/11/2015 4:03:42.650,5,627,11,67.03,1482.21,1483.08,-0.19,15.86,21.97,9.31,23.50
97,SB1,6/11/2015 4:08:03.172,2,583,2,63.35,287.01,287.40,-8.45,9.04
98,SB2,6/11/2015 4:09:18.808,2,583,2,79.23,335.44,336.16,-14.66,8.72
99,SB2,6/11/2015 4:09:20.570,3,589,3,30.38,1.69,1.76,-4.33,10.82,10.46
100,SB2,6/11/2015 4:09:20.766,2,583,2,18.00,0.00,0.20,-1.42,6.47
101,SB1,6/11/2015 4:11:25.055,10,638,13,61.49,201.79,201.88,-2.35,12.38,4.07,5.28,4.24,21.45,4.14,19.19,3.96,4.50
102,SB1,6/11/2015 4:15:41.228,2,600,5,62.29,255.29,256.17,2.97,18.08
103,SB1,6/11/2015 4:15:41.473,2,592,4,59.63,0.05,0.25,7.21,35.93
104,SB1,6/11/2015 4:18:36.100,3,605,8,69.10,174.22,174.63,3.26,14.22,21.79
105,SB1,6/11/2015 4:18:38.731,3,605,8,59.42,2.28,2.63,-0.26,17.12,17.37
106,SB1,6/11/2015 4:18:38.773,3,594,4,33.05,0.00,0.04,3.51,23.61,13.62
107,SB1,6/11/2015 4:18:38.885,3,582,1,10.40,0.00,0.11,-0.05,4.48,5.62
108,SB1,6/11/2015 4:25:46.060,3,605,8,59.84,426.51,427.18,0.74,17.42,34.16
109,SB2,6/11/2015 4:26:28.404,2,583,2,64.20,1027.39,1027.64,-8.95,8.88
110,SB1,6/11/2015 4:27:36.037,3,594,4,35.96,109.39,109.98,0.52,26.27,13.32
111,SB1,6/11/2015 4:27:36.186,2,583,2,13.10,0.00,0.15,4.89,7.75
112,SB1,6/11/2015 4:27:36.478,2,600,5,32.38,0.00,0.29,-3.02,16.80
113,SB1,6/11/2015 4:33:38.216,3,605,8,62.52,361.38,361.74,7.43,12.88,9.45
114,SB1,6/11/2015 4:33:38.800,3,582,1,63.83,0.34,0.58,38.35,5.31,5.47
115,SB1,6/11/2015 4:33:50.290,3,593,4,62.76,11.38,11.49,-9.22,20.62,3.93
116,SB1,6/11/2015 4:33:51.010,2,581,1,59.74,0.45,0.72,-1.78,5.23
117,SB1,6/11/2015 4:36:42.992,7,633,13,61.72,171.92,171.98,-0.88,14.14,23.21,9.61,22.20,9.52,23.04
118,SB1,6/11/2015 4:40:10.073,2,581,1,23.26,205.94,207.08,6.48,5.62
119,SB1,6/11/2015 4:40:11.586,6,618,10,56.90,1.35,1.51,-1.68,11.91,8.12,25.30,3.82,6.42
120,SB1,6/11/2015 4:43:09.157,5,613,9,62.52,176.90,177.57,-2.54,18.20,4.01,30.25,9.08
121,SB1,6/11/2015 4:44:43.791,2,583,2,81.94,93.97,94.63,-16.31,8.67
122,SB2,6/11/2015 4:47:42.201,2,588,3,79.41,1273.70,1273.80,-1.92,11.40
123,SB1,6/11/2015 4:48:54.156,3,582,1,78.85,250.29,250.36,-11.30,5.29,5.81
124,SB2,6/11/2015 4:50:53.808,2,588,3,66.36,191.51,191.61,-8.76,10.01
125,SB1,6/11/2015 4:54:17.551,4,610,8,56.23,323.30,323.40,-2.39,13.35,34.10,3.60
126,SB1,6/11/2015 4:55:08.168,2,592,4,69.53,50.00,50.62,-6.52,19.74
127,SB1,6/11/2015 4:59:50.993,2,600,5,67.16,282.63,282.83,5.91,16.04
128,SB1,6/11/2015 4:59:51.199,3,593,4,65.07,0.04,0.21,7.43,35.66,4.39
129,SB2,6/11/2015 5:04:24.963,2,583,2,89.85,811.05,811.15,-26.37,9.33
130,SB1,6/11/2015 5:10:04.865,2,583,2,60.06,613.26,613.67,-8.55,8.68
