Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,10,9:00:49 AM,1,3,68,2075,2,EB
7,10,9:00:51 AM,1,3,68,1980,2,EB
7,10,9:00:53 AM,1,2,70,1644,2,EB
7,10,9:00:55 AM,1,5,73,2005,2,EB
7,10,9:01:24 AM,1,3,76,2024,29,EB
7,10,9:01:42 AM,1,2,69,1702,18,EB
7,10,9:02:19 AM,1,3,65,4901,37,EB
7,10,9:02:24 AM,1,2,85,1693,5,EB
7,10,9:02:55 AM,1,2,70,3289,31,EB
7,10,9:03:46 AM,1,3,67,1874,51,EB
7,10,9:04:15 AM,1,5,52,1780,29,EB
7,10,9:05:35 AM,1,3,62,4145,80,EB
7,10,9:05:38 AM,1,3,58,2218,3,EB
7,10,9:05:57 AM,1,3,57,3409,19,EB
7,10,9:06:05 AM,1,2,58,1515,8,EB
7,10,9:06:46 AM,1,5,58,2892,41,EB
7,10,9:07:10 AM,1,3,70,2074,24,EB
7,10,9:07:11 AM,1,3,69,1933,1,EB
7,10,9:07:13 AM,1,3,69,1907,2,EB
7,10,9:07:17 AM,1,3,70,1727,4,EB
7,10,9:07:35 AM,1,3,71,1863,18,EB
7,10,9:08:30 AM,1,2,75,1633,55,EB
7,10,9:08:58 AM,1,3,64,1837,28,EB
7,10,9:09:01 AM,1,3,63,1711,3,EB
7,10,9:09:04 AM,1,3,61,1845,3,EB
7,10,9:09:19 AM,1,10,60,5875,15,EB
7,10,9:09:21 AM,1,3,61,3681,2,EB
7,10,9:09:41 AM,1,3,72,1826,20,EB
7,10,9:10:43 AM,1,3,67,3570,62,EB
7,10,9:12:04 AM,1,3,72,1950,81,EB
7,10,9:12:09 AM,1,2,70,1810,5,EB
7,10,9:13:29 AM,1,3,80,1982,80,EB
7,10,9:13:32 AM,1,9,62,5574,3,EB
7,10,9:13:33 AM,1,3,62,1955,1,EB
7,10,9:13:35 AM,1,3,60,2240,2,EB
7,10,9:14:28 AM,1,1,0,582,53,EB
7,10,9:17:31 AM,1,3,64,1900,183,EB
7,10,9:17:34 AM,1,2,61,1416,3,EB
7,10,9:17:35 AM,1,2,59,1773,1,EB
7,10,9:17:57 AM,1,5,61,5390,22,EB
7,10,9:17:59 AM,1,3,61,1867,2,EB
7,10,9:18:01 AM,1,2,58,1675,2,EB
7,10,9:18:04 AM,1,2,58,1637,3,EB
7,10,9:18:06 AM,1,2,58,1628,2,EB
7,10,9:18:08 AM,1,3,57,1897,2,EB
7,10,9:18:09 AM,1,2,62,1661,1,EB
