Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,9,9:53:06 AM,1,3,76,1648,9,WB
7,9,9:53:26 AM,1,2,80,1683,20,WB
7,9,9:54:06 AM,1,2,54,1325,40,WB
7,9,9:54:48 AM,1,2,71,1145,42,WB
7,9,9:54:56 AM,1,2,69,1316,8,WB
7,9,9:55:03 AM,1,2,79,1378,7,WB
7,9,9:55:19 AM,1,2,72,1373,16,WB
7,9,9:55:53 AM,1,3,59,3693,34,WB
7,9,9:55:56 AM,1,2,58,1447,3,WB
7,9,9:56:55 AM,1,3,53,4577,59,WB
7,9,9:56:58 AM,1,2,55,1331,3,WB
7,9,9:57:04 AM,1,2,71,1244,6,WB
7,9,9:57:18 AM,1,3,71,1423,14,WB
7,9,9:57:53 AM,1,2,70,1317,35,WB
7,9,9:57:55 AM,1,2,75,1288,2,WB
7,9,9:58:42 AM,1,3,71,1918,47,WB
7,9,9:59:06 AM,1,2,71,1523,24,WB
7,9,9:59:38 AM,1,9,59,6589,32,WB
7,10,9:00:52 AM,1,10,62,5403,76,WB
7,10,9:01:10 AM,1,3,70,1891,18,WB
7,10,9:02:42 AM,1,3,68,1695,92,WB
7,10,9:02:51 AM,1,2,69,1290,9,WB
7,10,9:04:25 AM,1,3,65,1612,94,WB
7,10,9:04:54 AM,1,2,78,1440,29,WB
7,10,9:05:16 AM,1,2,65,1562,22,WB
7,10,9:05:17 AM,1,2,67,1579,1,WB
7,10,9:05:28 AM,1,2,65,1422,11,WB
7,10,9:05:29 AM,1,3,67,1771,1,WB
7,10,9:05:33 AM,1,3,67,3263,4,WB
7,10,9:05:40 AM,1,2,77,1530,7,WB
7,10,9:06:33 AM,1,2,71,1518,53,WB
7,10,9:06:48 AM,1,3,62,1346,15,WB
7,10,9:07:26 AM,1,3,67,1835,38,WB
7,10,9:07:53 AM,1,2,67,1431,27,WB
7,10,9:08:37 AM,1,3,69,1666,44,WB
7,10,9:08:44 AM,1,2,64,1448,7,WB
7,10,9:09:12 AM,1,10,56,6633,28,WB
7,10,9:09:13 AM,1,3,56,1633,1,WB
7,10,9:09:15 AM,1,3,55,1656,2,WB
7,10,9:09:51 AM,1,3,67,1651,36,WB
7,10,9:09:52 AM,1,3,71,1718,1,WB
7,10,9:10:18 AM,1,3,67,1771,26,WB
7,10,9:11:28 AM,1,2,71,1550,70,WB
7,10,9:11:47 AM,1,2,71,1443,19,WB
7,10,9:11:52 AM,1,2,69,1473,5,WB
7,10,9:11:57 AM,1,2,82,1546,5,WB
7,10,9:12:13 AM,1,3,67,1681,16,WB
7,10,9:12:19 AM,1,2,72,1403,6,WB
7,10,9:12:21 AM,1,2,74,1593,2,WB
7,10,9:13:56 AM,1,2,68,1515,95,WB
7,10,9:14:35 AM,1,3,65,1734,39,WB
7,10,9:15:03 AM,1,2,68,1400,28,WB
7,10,9:15:24 AM,1,3,69,4011,21,WB
7,10,9:15:32 AM,1,3,65,1634,8,WB
7,10,9:15:38 AM,1,2,73,1358,6,WB
7,10,9:16:49 AM,1,9,49,6816,71,WB
7,10,9:17:01 AM,1,3,64,1597,12,WB
7,10,9:17:46 AM,1,13,58,6195,45,WB
7,10,9:18:31 AM,1,2,67,1314,45,WB
7,10,9:19:51 AM,1,2,67,1443,80,WB
7,10,9:19:51 AM,1,2,69,1501,0,WB
7,10,9:20:14 AM,1,3,71,1745,23,WB
7,10,9:20:17 AM,1,2,71,1544,3,WB
7,10,9:20:25 AM,1,3,75,1616,8,WB
7,10,9:20:46 AM,1,2,67,1372,21,WB
7,10,9:21:00 AM,1,2,79,1488,14,WB
7,10,9:22:00 AM,1,10,61,7132,60,WB
7,10,9:22:00 AM,1,2,67,1397,0,WB
7,10,9:22:04 AM,1,2,70,1498,4,WB
7,10,9:22:08 AM,1,2,66,1513,4,WB
7,10,9:22:12 AM,1,2,65,1496,4,WB
7,10,9:22:25 AM,1,3,67,1609,13,WB
7,10,9:22:48 AM,1,2,62,1428,23,WB
7,10,9:24:04 AM,1,2,87,1437,76,WB
7,10,9:24:57 AM,1,2,80,1432,53,WB
7,10,9:25:28 AM,1,2,63,1403,31,WB
7,10,9:25:31 AM,1,2,69,1526,3,WB
7,10,9:25:52 AM,1,2,74,1642,21,WB
7,10,9:27:42 AM,1,2,68,1441,110,WB
7,10,9:30:15 AM,1,2,67,1602,153,WB
7,10,9:31:08 AM,1,2,62,1529,53,WB
7,10,9:31:39 AM,1,3,71,1618,31,WB
7,10,9:31:59 AM,1,3,62,3266,20,WB
7,10,9:31:59 AM,1,2,62,1442,0,WB
7,10,9:32:17 AM,1,2,63,1484,18,WB
7,10,9:32:33 AM,1,9,62,6382,16,WB
7,10,9:32:37 AM,1,6,66,2532,4,WB
7,10,9:32:39 AM,1,2,62,1637,2,WB
7,10,9:32:44 AM,1,3,67,1422,5,WB
7,10,9:32:49 AM,1,3,71,4097,5,WB
7,10,9:32:51 AM,1,2,84,1528,2,WB
7,10,9:33:02 AM,1,2,80,1591,11,WB
7,10,9:33:43 AM,1,2,68,1470,41,WB
7,10,9:33:47 AM,1,3,80,1355,4,WB
7,10,9:34:18 AM,1,3,53,1469,31,WB
7,10,9:34:56 AM,1,2,74,1593,38,WB
7,10,9:35:37 AM,1,6,61,2772,41,WB
7,10,9:35:41 AM,1,2,63,1475,4,WB
7,10,9:35:43 AM,1,2,64,1592,2,WB
7,10,9:35:45 AM,1,3,66,1454,2,WB
7,10,9:35:47 AM,1,3,67,1835,2,WB
7,10,9:36:20 AM,1,3,77,1678,33,WB
7,10,9:36:53 AM,1,2,69,1598,33,WB
7,10,9:36:56 AM,1,2,68,1411,3,WB
7,10,9:36:59 AM,1,3,68,1774,3,WB
